lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.417392
# Diagonal elements of inverse mass matrix:
# 3.14936e-05, 2.14643e-05, 0.000139569, 0.00014548, 0.000206282, 0.000193319, 0.000382487, 0.000332782, 0.000193886, 0.000212002, 0.000257194, 0.000151695, 0.000231636, 0.000216905, 0.000599461, 0.000201965, 0.000305037, 0.000339752, 0.000355037, 0.000245653, 0.0022713, 0.001155, 0.0881786, 0.101323
-18881,0.857847,0.417392,3,7,0,18893.2,-0.00737663,0.971547,0.130544,-0.0499492,0.229689,0.102325,0.347273,0.135688,0.0328774,0.0908689,0.272562,0.163849,-0.0552883,0.0635015,0.0780808,0.0212177,0.14326,0.12219,0.151847,0.162615,0.124741,0.0979794,0.224088,0.0491274,-19416.9
-18876.1,0.57901,0.417392,3,7,0,18896,-0.00544643,0.972636,0.121507,-0.0285744,0.243594,0.104107,0.338261,0.146341,0.0267616,0.065723,0.235964,0.176566,-0.0510577,0.0793634,0.0599886,0.0230187,0.143763,0.106358,0.129618,0.142984,0.137244,0.156746,0.168633,0.0875446,-19386.9
-18873.8,0.984346,0.417392,3,15,0,18883.9,-0.00849278,0.974317,0.137388,-0.0170138,0.219393,0.0988574,0.324194,0.153802,0.0112321,0.0757767,0.269057,0.149016,-0.0336199,0.0867316,0.0708733,0.0073041,0.156308,0.118977,0.137089,0.142541,0.123233,0.135608,0.0942717,0.0988916,-19384.4
-18876.5,0.871666,0.417392,3,7,0,18886.8,-0.00248893,0.97248,0.114638,-0.0458538,0.249099,0.108506,0.323324,0.135427,0.0871046,0.0794185,0.250319,0.154114,-0.0340093,0.0919984,0.087874,0.011033,0.120575,0.111593,0.131746,0.14691,0.167316,0.0565153,0.122185,0.0607612,-19380.6
-18877.9,0.971301,0.417392,3,7,0,18886.6,-0.018613,0.974646,0.127857,-0.0199757,0.21855,0.109288,0.332844,0.170979,0.0470437,0.0770825,0.284041,0.166828,-0.0585583,0.0951532,0.0744412,-0.00502349,0.168585,0.0987894,0.147399,0.152681,0.179167,0.127136,0.111071,0.0795367,-19411.5
-18875.4,0.883334,0.417392,4,15,0,18894,0.000267411,0.974012,0.109268,-0.0298255,0.258978,0.0975563,0.32304,0.128894,0.0215203,0.0565,0.239314,0.151894,-0.0242597,0.10592,0.0684541,0.0154596,0.135872,0.138175,0.12662,0.151222,0.138046,0.0542857,0.12059,0.0701305,-19375.2
-18879.5,0.878483,0.417392,3,7,0,18889.6,-0.010419,0.970667,0.0996105,-0.020268,0.2715,0.12889,0.338183,0.148718,0.0118938,0.0823478,0.251087,0.156342,-0.0545365,0.0896475,0.097679,-0.012546,0.15175,0.113414,0.130202,0.153493,0.135739,0.132781,0.0966183,0.0660995,-19411.2
-18878.9,0.967861,0.417392,3,7,0,18893.8,-0.00983628,0.976804,0.125378,-0.034667,0.211523,0.105836,0.328292,0.162265,0.0462491,0.0801299,0.25436,0.153993,-0.0143789,0.136129,0.04556,-0.0104988,0.145174,0.132673,0.146028,0.139353,0.155913,0.0372105,0.13089,0.0999136,-19383.2
-18878.3,0.959271,0.417392,3,7,0,18889.2,-0.0065093,0.970349,0.0985518,-0.0334356,0.224052,0.0972981,0.329365,0.136955,-0.00946959,0.0889756,0.273819,0.186434,-0.0447671,0.126288,0.071104,0.0204631,0.154689,0.121881,0.122196,0.170982,0.123209,0.158493,0.133253,0.10989,-19415.4
-18876.9,0.9142,0.417392,3,15,0,18892.8,-0.00820032,0.975938,0.132905,-0.0266767,0.248205,0.0935424,0.329208,0.148233,0.07222,0.070011,0.240955,0.141687,-0.0248263,0.0968119,0.0874519,-0.00898246,0.147619,0.11074,0.118417,0.138175,0.106353,0.0608896,0.140846,0.0499572,-19370
-18876.8,0.904818,0.417392,3,7,0,18893.7,-0.0107944,0.970205,0.107525,-0.0374421,0.214001,0.0927198,0.323359,0.154868,0.0524207,0.0774767,0.229432,0.172371,-0.0410241,0.086829,0.103542,0.00827475,0.130553,0.104951,0.11178,0.138072,0.0965817,0.0972774,0.128104,0.0640714,-19370.3
-18878.8,0.808259,0.417392,3,7,0,18891.8,-0.0167163,0.970385,0.108301,-0.0271677,0.235238,0.0869583,0.321355,0.128763,0.064833,0.0697038,0.223301,0.172352,-0.00378429,0.104871,0.0990126,0.00616041,0.137225,0.118011,0.134396,0.162604,0.105156,0.0842362,0.113676,0.083654,-19381.9
-18877.9,1,0.417392,3,7,0,18885.3,-0.0131254,0.970759,0.105479,-0.0304957,0.234632,0.0937217,0.320889,0.133964,0.0654531,0.0701622,0.215506,0.175933,-0.00761706,0.099216,0.0958605,0.00561798,0.125465,0.124237,0.142904,0.161033,0.114075,0.085515,0.118007,0.0793049,-19380.2
-18872.1,1,0.417392,3,7,0,18881.7,-0.0106275,0.97474,0.106098,-0.0399969,0.228756,0.0894029,0.307471,0.148464,0.0469112,0.0778983,0.23795,0.173642,-0.0305847,0.0958438,0.0714676,0.0142316,0.144084,0.120651,0.121163,0.173573,0.118405,0.137033,0.142749,0.0797573,-19377.3
-18873.6,0.827168,0.417392,3,7,0,18884.8,-0.00963225,0.977022,0.106316,-0.0413003,0.215308,0.0869173,0.304265,0.149831,0.0272947,0.0844026,0.250161,0.169635,-0.0376432,0.112716,0.0623956,0.0189782,0.148043,0.125583,0.116083,0.170201,0.13736,0.124013,0.144403,0.0832142,-19375.1
-18874.7,0.871614,0.417392,3,7,0,18882.8,-0.0123792,0.97726,0.122758,-0.0307823,0.252934,0.125306,0.344424,0.160054,0.0427094,0.0884086,0.276413,0.16884,-0.0417538,0.116336,0.0775822,0.01596,0.146706,0.134963,0.141468,0.145247,0.15454,0.104511,0.0856942,0.0802211,-19425.1
