lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.528801
# Diagonal elements of inverse mass matrix:
# 3.04423e-05, 2.37887e-05, 0.000136695, 0.000166389, 0.000221866, 0.000181363, 0.000377016, 0.000318203, 0.000213011, 0.000185326, 0.000259672, 0.000150168, 0.00020542, 0.000227116, 0.00052643, 0.000230026, 0.000276288, 0.000343751, 0.000352262, 0.000219373, 0.00202359, 0.000801455, 0.0765079, 0.0816748
-18876.5,0.833574,0.528801,3,7,0,18884.4,-0.00566431,0.97702,0.102957,-0.0433227,0.251036,0.110858,0.32434,0.15517,0.0754645,0.0480023,0.245276,0.17154,-0.049091,0.0934871,0.0763426,-0.00406065,0.141495,0.132373,0.137382,0.167842,0.224148,0.0746323,0.218238,0.0658666,-19392.5
-18874.2,0.99125,0.528801,3,7,0,18887.5,-0.00693469,0.97048,0.112542,-0.0229005,0.274686,0.109015,0.296398,0.148288,0.0442302,0.0734452,0.240673,0.168616,-0.0490867,0.105425,0.0686933,0.00582137,0.124744,0.12987,0.139517,0.148325,0.125838,0.106003,0.111318,0.066138,-19387.4
-18872.4,0.808735,0.528801,3,7,0,18884.2,-0.012251,0.974629,0.115258,-0.0281993,0.227063,0.0986129,0.319753,0.151939,0.0252841,0.0751577,0.271118,0.1694,-0.0489386,0.0645523,0.072075,0.0230978,0.163911,0.117217,0.146711,0.157454,0.146142,0.077565,0.105241,0.0904123,-19396.9
-18881.6,0.589949,0.528801,3,7,0,18888.6,-0.000726181,0.97591,0.115931,-0.0109615,0.227084,0.105112,0.302959,0.157908,0.114691,0.078981,0.266016,0.164785,-0.0366064,0.10049,0.0961137,0.00810271,0.158022,0.123116,0.14303,0.119662,0.133813,0.071084,0.0851538,0.0882131,-19381.7
-18882.1,0.97242,0.528801,3,7,0,18892.4,-0.00717654,0.974448,0.123598,-0.0212595,0.231077,0.0954229,0.290051,0.15647,0.087793,0.0918001,0.265607,0.163404,-0.0264305,0.0839862,0.0880939,-0.0153949,0.158838,0.126341,0.147895,0.126451,0.118347,0.128434,0.113246,0.0585171,-19378.5
-18879.7,0.958281,0.528801,3,7,0,18894.1,-0.00210877,0.969444,0.112069,-0.0260849,0.268732,0.116957,0.331185,0.14937,0.0203064,0.0560528,0.289291,0.180133,-0.0252943,0.12449,0.0689089,0.0111179,0.141793,0.132926,0.113854,0.185458,0.142756,0.0724973,0.0978783,0.0877916,-19436
-18879.1,0.983425,0.528801,3,7,0,18889.4,-0.00420987,0.969896,0.121123,-0.0301524,0.263722,0.111523,0.331817,0.15422,-0.00291292,0.0533748,0.288172,0.164271,-0.0315429,0.128617,0.0679035,0.00826664,0.140446,0.120215,0.121799,0.189897,0.111234,0.0792878,0.103391,0.0788243,-19428.3
-18873.2,1,0.528801,3,7,0,18884,-0.00568349,0.972814,0.126948,-0.035786,0.246981,0.111846,0.321056,0.163079,0.0205251,0.0781836,0.265957,0.18784,-0.0376598,0.108918,0.0631858,-0.00090711,0.134086,0.117552,0.136837,0.174055,0.149827,0.0619144,0.123843,0.092414,-19414.8
-18876.5,0.847626,0.528801,3,7,0,18883.3,-0.014992,0.972714,0.10199,-0.0165164,0.221518,0.0983697,0.32555,0.138829,0.0676405,0.0810972,0.213013,0.143399,-0.0319062,0.0938107,0.0627612,0.0138594,0.155534,0.103215,0.140894,0.163414,0.117599,0.104051,0.0971718,0.0678853,-19365.8
-18877.2,0.753219,0.528801,3,7,0,18891.7,-0.000332386,0.975893,0.13323,-0.0417003,0.255667,0.104795,0.322116,0.149166,-0.00276486,0.0552035,0.260469,0.176743,-0.0394943,0.109981,0.0892027,0.00524071,0.153727,0.140195,0.123805,0.1873,0.150749,0.0945021,0.141634,0.0913469,-19417.8
-18870.4,1,0.528801,3,7,0,18880.5,-0.00454599,0.971319,0.105037,-0.0339447,0.233638,0.112026,0.31611,0.154556,0.0376552,0.0690779,0.242503,0.145943,-0.0366265,0.0944389,0.0681782,0.00859512,0.147022,0.125537,0.142579,0.170074,0.100909,0.0927194,0.121048,0.0719954,-19385.1
-18873,0.701666,0.528801,3,7,0,18881.7,-0.0109653,0.976478,0.136514,-0.0225664,0.230262,0.0898812,0.330187,0.139147,0.0384294,0.0829901,0.267586,0.175713,-0.0359176,0.124079,0.0815379,0.0111605,0.153181,0.113561,0.115105,0.143245,0.188457,0.106877,0.125681,0.0666669,-19394.3
-18876.8,0.892237,0.528801,3,7,0,18883.1,-0.00433937,0.97432,0.0997196,-0.0367589,0.232932,0.109104,0.319585,0.175433,0.0421742,0.0782719,0.272151,0.171411,-0.0163502,0.0814184,0.074637,0.0179754,0.146071,0.111143,0.146464,0.140678,0.245111,0.096472,0.266325,0.0620922,-19391.7
