# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2024-09-28 20:55:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/c5emv0ew.json
# init = 2 (Default)
# random
#   seed = 86825
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/BOW.nondens/multireg-20240928155556_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.538128
# Diagonal elements of inverse mass matrix:
# 2.27109e-05, 2.26776e-05, 2.39979e-05, 2.41614e-05, 1.62979e-05
-34115,1,0.538128,3,7,0,34116.4,-0.0131596,0.084334,0.173503,0.132177,0.972931,0.0632563,0.188882,0.134432,-100173
-34115,0.979302,0.538128,3,7,0,34116.5,-0.0124797,0.084874,0.171862,0.118109,0.976,0.0649499,0.189549,0.120123,-100173
-34117.1,0.84054,0.538128,3,7,0,34119.3,-0.00572844,0.079116,0.167599,0.126554,0.975917,0.0588416,0.18267,0.128713,-100175
-34114.4,1,0.538128,2,3,0,34118,-0.0161863,0.0889733,0.171923,0.124408,0.973772,0.0685717,0.188419,0.12653,-100172
-34116.4,0.827436,0.538128,2,3,0,34117.6,-0.0181123,0.0908666,0.17005,0.127917,0.976408,0.0703218,0.185435,0.130099,-100174
-34116.5,0.851393,0.538128,3,7,0,34120.3,-0.00704308,0.0804063,0.172378,0.122296,0.979406,0.0601413,0.189385,0.124382,-100174
-34116.3,0.943258,0.538128,3,7,0,34119.3,-0.00627321,0.0828197,0.167687,0.128685,0.976527,0.0623772,0.182371,0.13088,-100174
-34115.8,0.913132,0.538128,2,3,0,34118.6,-0.0099821,0.0804862,0.168146,0.126773,0.978626,0.0601591,0.183303,0.128936,-100174
-34113.1,1,0.538128,2,3,0,34115.6,-0.0136571,0.0854028,0.171533,0.124582,0.974307,0.0650168,0.187904,0.126707,-100171
-34114.2,0.903273,0.538128,2,3,0,34114.3,-0.0127187,0.087514,0.174985,0.124719,0.978032,0.066894,0.192139,0.126847,-100172
-34115.8,0.908838,0.538128,2,7,0,34116.7,-0.0183185,0.0876797,0.175093,0.120552,0.973285,0.0673633,0.19307,0.122608,-100174
-34117.8,0.820381,0.538128,2,3,0,34120,-0.0143611,0.0850887,0.173994,0.116063,0.979441,0.0651799,0.192573,0.118043,-100176
-34118.2,0.99404,0.538128,3,7,0,34120.7,-0.0104567,0.0914578,0.172223,0.132902,0.971112,0.0704012,0.187163,0.135169,-100176
-34114.7,0.972273,0.538128,2,3,0,34120,-0.00917506,0.0893905,0.174332,0.125973,0.972584,0.0687171,0.191093,0.128122,-100173
-34114.2,0.917479,0.538128,3,7,0,34117.2,-0.0146931,0.0801516,0.172981,0.12555,0.977259,0.0596055,0.189507,0.127692,-100172
-34115.9,0.871147,0.538128,2,3,0,34116.5,-0.0152947,0.0810304,0.171862,0.127914,0.979963,0.060379,0.187673,0.130096,-100174
-34115.8,0.948409,0.538128,3,7,0,34119.1,-0.0172651,0.090294,0.173238,0.122447,0.972483,0.0699529,0.190418,0.124536,-100174
-34114.7,0.990327,0.538128,3,7,0,34117,-0.00949672,0.0808463,0.175232,0.129031,0.976644,0.0598954,0.191619,0.131232,-100173
-34114.3,0.991482,0.538128,3,7,0,34115.7,-0.0149389,0.0829159,0.170331,0.120634,0.975101,0.0629038,0.187176,0.122692,-100172
-34117.2,0.693678,0.538128,3,7,0,34119.4,-0.0109773,0.0878285,0.173157,0.130726,0.968949,0.0668778,0.188733,0.132956,-100175
-34114.6,0.955023,0.538128,2,3,0,34118.6,-0.0128527,0.0886723,0.169799,0.125692,0.971991,0.0683117,0.185552,0.127836,-100172
-34114.2,0.991287,0.538128,3,7,0,34116.1,-0.0144016,0.0861268,0.174243,0.122042,0.977652,0.0657553,0.191736,0.124124,-100172
-34114.5,0.946257,0.538128,3,7,0,34115.8,-0.0127549,0.0839507,0.171941,0.124461,0.970394,0.0635489,0.188431,0.126585,-100172
-34116.8,0.867436,0.538128,2,7,0,34118.3,-0.00826829,0.0798375,0.173456,0.117304,0.974187,0.0598759,0.191672,0.119305,-100175
