lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,log_p
# Adaptation terminated
# Step size = 0.427157
# Diagonal elements of inverse mass matrix:
# 3.0532e-05, 2.14891e-05, 0.000219592, 0.00016063, 0.000147888, 0.000147442, 0.000261561, 0.00022648, 0.000212782, 0.000206429, 0.000419251, 0.000359874, 0.000372692, 0.0003707, 0.000138277, 0.00019167, 0.000205227, 0.000307411, 0.000237332, 0.000213152, 0.000201152, 0.00021001, 0.000269572, 0.000243279, 0.00022811, 0.000378598, 0.000378494, 0.000213636, 0.000192265, 0.000235233, 0.000383309, 0.000400763, 0.000276948, 0.000354765, 0.000338021, 0.000262284, 0.000261586, 0.000273211, 0.00212442, 0.000936298, 0.000376187, 0.00090011, 0.092884, 0.0795005, 0.0875324, 0.0898629
-18752,0.905209,0.427157,3,7,0,18771.9,-0.0110616,0.971644,0.213839,0.000297002,0.279203,0.10666,0.308099,0.192492,0.094308,0.0859826,0.231165,0.149023,-0.0544638,0.0465106,0.046283,0.00425448,0.137449,0.0773707,0.180063,0.149952,-0.0534657,-0.058135,-0.108907,-0.1436,0.00330996,-0.0283806,-0.11879,-0.0804482,-0.019883,0.0452615,0.100463,0.0184527,-0.00172223,0.0242648,0.00406641,0.194717,-0.0338577,0.0587425,0.221218,0.140219,-0.0749846,0.0645899,0.110686,0.107623,0.0409304,0.0558585,-19192.6
-18761.2,0.699913,0.427157,3,7,0,18778.7,-0.0094492,0.975752,0.203399,-0.0226936,0.291487,0.102083,0.309216,0.171262,0.109417,0.0615928,0.242341,0.151904,-0.0459845,0.123677,0.0813933,-0.0154774,0.16266,0.0683248,0.200844,0.15597,-0.0625376,-0.045518,-0.108653,-0.109094,-0.0138966,-0.0293074,-0.120749,-0.063399,-0.0318683,0.0600514,0.0750861,0.0068097,0.060681,0.0405961,-0.0462734,0.236311,-0.0202298,0.0774007,0.1486,0.0518151,-0.0617549,0.057854,0.167911,0.0962601,0.0446482,0.10882,-19215
-18760.3,0.944619,0.427157,3,7,0,18782.4,-0.00578552,0.971335,0.227488,-0.00827525,0.239028,0.0987178,0.316765,0.161433,0.0946045,0.063189,0.20708,0.168131,-0.0190172,0.108605,0.0730194,0.00924428,0.156596,0.0457364,0.131771,0.143493,-0.0677351,-0.0645016,-0.125314,-0.14051,-0.0222688,-0.0419673,-0.116152,-0.0934281,-0.0175866,0.0522712,0.0889168,0.00528441,0.0387988,0.0309656,-0.0600787,0.194387,-0.0432947,0.0751277,0.0925933,0.043804,-0.0788945,0.035297,0.12675,0.147338,0.035849,0.06702,-19193.1
-18758.6,0.632113,0.427157,3,7,0,18789.9,-0.00162442,0.973192,0.220892,-0.0112702,0.241233,0.105285,0.314223,0.168663,0.0874847,0.0559913,0.189395,0.165897,-0.0161517,0.107452,0.064017,-0.00323574,0.162445,0.0586877,0.146744,0.139557,-0.0657172,-0.0694062,-0.11641,-0.145036,-0.0209308,-0.0380514,-0.108972,-0.0982094,-0.0124756,0.0543164,0.0879598,0.0242672,0.0331437,0.0180469,-0.0491369,0.192493,-0.0374044,0.0684801,0.115742,0.0537066,-0.0952343,0.0159947,0.113755,0.128212,0.0350676,0.0945574,-19181
-18753.3,1,0.427157,3,7,0,18774.7,-0.0144767,0.967947,0.211161,-0.0169777,0.250996,0.0927893,0.313142,0.205907,0.0794703,0.0478581,0.232784,0.146433,-0.0353151,0.107079,0.0455142,-0.0165695,0.148136,0.0555305,0.160989,0.163177,-0.0491096,-0.0532269,-0.130623,-0.122868,-0.00573416,-0.0455328,-0.110251,-0.0762099,-0.0044059,0.0520735,0.0996114,0.0239617,0.0271367,0.0458177,-0.0876554,0.216506,-0.0242891,0.080135,0.0969204,0.0520667,-0.0632246,0.0432349,0.17152,0.0838222,0.0517062,0.0793756,-19199.1
-18758.1,0.94332,0.427157,3,7,0,18773.4,-0.00771427,0.973882,0.206688,-0.0153637,0.247338,0.110506,0.339122,0.210866,0.0828145,0.0760358,0.224975,0.144698,-0.0235135,0.0904428,0.0502816,-0.0343181,0.153437,0.0401033,0.173796,0.149018,-0.0673977,-0.0755043,-0.147819,-0.127132,-0.00878712,-0.0378204,-0.0984918,-0.0646826,-0.00152617,0.04526,0.0971654,0.0419629,0.0365961,0.0656507,-0.0561184,0.231735,-0.00118169,0.0432439,0.218631,0.0828087,-0.0699368,0.0578183,0.0843681,0.111275,0.0727455,0.0932665,-19203.8
-18765.1,0.6169,0.427157,4,15,0,18783.6,0.00155398,0.97241,0.234929,-0.0153936,0.291334,0.115617,0.299739,0.182016,0.134431,0.0691881,0.236387,0.174025,-0.0424438,0.0649383,0.0608313,0.017692,0.136544,0.0877638,0.178166,0.168866,-0.0595516,-0.0533713,-0.0818874,-0.133983,0.0187923,-0.0254789,-0.12272,-0.102031,-0.0159559,0.0548413,0.0803529,0.00787865,0.0221054,0.0261829,-0.00608505,0.179757,-0.0543884,0.0925665,-0.0136823,0.104754,-0.0753328,0.0396723,0.306531,0.0806241,0.0385781,0.0567833,-19233
-18765.8,0.875286,0.427157,3,7,0,18790.7,-0.00314088,0.976746,0.233403,-0.00145271,0.291369,0.0970182,0.292411,0.172647,0.112277,0.0535755,0.198351,0.167533,-0.0473945,0.0505796,0.0438585,-0.00930442,0.140926,0.0476532,0.180985,0.138737,-0.0616666,-0.0843261,-0.101432,-0.106795,0.0156181,-0.0476312,-0.112835,-0.105567,0.00244599,0.0730639,0.0815118,0.00435547,0.0164405,0.0387427,-0.00736677,0.18269,-0.00676034,0.0704291,0.0111153,0.0671886,-0.0520827,0.0566212,0.14557,0.0694966,0.0492575,0.0555521,-19171.8
-18768.3,0.934855,0.427157,3,7,0,18797.1,-0.0138354,0.965548,0.197947,-0.0379111,0.24542,0.129434,0.323454,0.235394,0.0869136,0.100237,0.241802,0.151494,-0.0222129,0.102425,0.0592226,-0.0164687,0.145682,0.0952002,0.154846,0.17976,-0.0678932,-0.0462662,-0.121013,-0.15434,-0.016203,-0.0145719,-0.113259,-0.0682496,-0.030651,0.0251669,0.0856047,0.0307871,0.0375748,0.0450056,-0.036767,0.196916,0.00301196,0.046454,0.206717,0.112108,-0.0892462,0.0222075,0.340833,0.0870654,0.0494386,0.107481,-19232.2
-18766.1,0.869667,0.427157,3,7,0,18795.2,-0.00138474,0.973669,0.238935,-0.0219649,0.253953,0.0885924,0.314658,0.163144,0.116442,0.0779732,0.216041,0.149744,-0.0588851,0.0831285,0.0478896,-0.0290008,0.16306,0.0313299,0.146326,0.1253,-0.0707574,-0.0481157,-0.128897,-0.117133,0.012217,-0.0415794,-0.1241,-0.100944,0.000341868,0.0656708,0.0965888,0.0176858,0.0138449,0.0549891,-0.00886091,0.220569,-0.0472488,0.0729121,0.127046,0.0557362,-0.0269784,0.0592206,0.0629287,0.0681538,0.0970826,0.0701668,-19191.1
-18763.2,0.99344,0.427157,3,7,0,18787.4,-0.00611508,0.970722,0.251521,-0.0214911,0.249878,0.0929178,0.309917,0.184119,0.12275,0.0603522,0.245652,0.14769,-0.0594087,0.0475274,0.0575792,-0.0127473,0.168595,0.0383024,0.168204,0.122366,-0.0850664,-0.0506524,-0.143847,-0.140292,-0.00240138,-0.0289511,-0.0963308,-0.0639577,-0.0122182,0.0639435,0.115126,0.00561299,0.0142165,0.0408842,-0.00623931,0.214643,-0.0157619,0.0629776,0.212054,0.120817,-0.0387569,0.0338399,0.134541,0.0737959,0.0995581,0.0907696,-19207
-18757.7,0.871562,0.427157,3,7,0,18786.1,-0.00941861,0.970053,0.188749,-0.0156106,0.289994,0.129145,0.300122,0.212956,0.0892175,0.0658707,0.210223,0.167682,-0.0314564,0.10515,0.0545209,-0.0210642,0.12971,0.0815277,0.186794,0.189674,-0.0405488,-0.0598011,-0.0747884,-0.127263,0.00151803,-0.0408855,-0.117709,-0.102562,-0.0116604,0.0482312,0.0799396,0.0287948,0.0413158,0.0298814,-0.0625159,0.198124,-0.0420319,0.0570609,0.124816,0.0516564,-0.0715477,0.0571705,0.0997718,0.114623,0.0385438,0.0708589,-19210.3
-18754.9,0.816295,0.427157,3,7,0,18780.6,0.00185062,0.963175,0.233019,-0.0421911,0.246442,0.0989727,0.298043,0.198826,0.0944392,0.0621986,0.231531,0.169131,-0.00972833,0.0943691,0.0628985,-0.00553367,0.161746,0.0553489,0.17877,0.182917,-0.077686,-0.062449,-0.103767,-0.134618,0.0078449,-0.0522905,-0.107122,-0.0566043,0.00922957,0.0452784,0.0878635,-0.0150008,0.0315059,0.0384427,-0.0356486,0.192895,-0.0140075,0.044238,0.189214,0.0991919,-0.0450455,0.0355004,0.119838,0.10145,0.0555775,0.0674023,-19223.4
-18760.4,0.844243,0.427157,3,7,0,18777.6,-0.0177241,0.975971,0.200122,0.00727408,0.290225,0.131639,0.313342,0.184043,0.123866,0.0786375,0.22296,0.143453,-0.0524953,0.0691815,0.0389132,-0.0108818,0.121027,0.0721615,0.134883,0.140477,-0.048218,-0.0546298,-0.114807,-0.128964,-0.00718229,-0.00885321,-0.119991,-0.122781,-0.0323278,0.0567824,0.0930786,0.0513911,0.0323399,0.0558967,-0.0240692,0.211318,-0.0331531,0.0811743,0.163599,0.0577346,-0.0785949,0.0904035,0.11136,0.0751049,0.0459995,0.074099,-19192.2
-18757.1,1,0.427157,3,7,0,18777.7,-0.0135774,0.976615,0.213822,0.00546345,0.289609,0.125451,0.310255,0.200828,0.122502,0.0780976,0.231026,0.141555,-0.0512854,0.0713973,0.0405112,-0.00996946,0.123715,0.0672486,0.13663,0.143317,-0.0467106,-0.0432432,-0.121279,-0.125625,-0.0137244,-0.0240733,-0.119535,-0.120254,-0.0306018,0.0509171,0.0879339,0.0498808,0.0327404,0.0596545,-0.0158587,0.211988,-0.0278008,0.0779453,0.156811,0.0448028,-0.0858061,0.0996855,0.121584,0.0750754,0.051287,0.0917663,-19194.1
-18758.4,0.943279,0.427157,3,7,0,18778.2,-0.0134197,0.963603,0.217031,-0.0162033,0.271095,0.110986,0.288183,0.207301,0.120506,0.0543692,0.235958,0.161211,-0.0652428,0.0273689,0.0605271,-0.0137734,0.163748,0.0494826,0.186496,0.150543,-0.0804295,-0.0655816,-0.126909,-0.127015,-0.00583675,-0.0567944,-0.127341,-0.0806376,-0.0212328,0.0437402,0.0998119,0.0253347,0.0146475,0.0387464,-0.0232338,0.207661,0.0102974,0.0461001,0.17724,0.110606,-0.0742261,0.0231879,0.0866518,0.0770221,0.037597,0.0531361,-19213
-18760.4,0.794873,0.427157,3,7,0,18785.5,-0.00518497,0.975268,0.218296,-0.0216735,0.270934,0.129517,0.313567,0.195756,0.109345,0.0790982,0.262511,0.14543,-0.020624,0.139614,0.0509223,0.00363558,0.137471,0.062009,0.164295,0.150426,-0.0644448,-0.0482984,-0.108864,-0.149486,-0.0113918,-0.0177112,-0.0887595,-0.0804557,-0.0287629,0.0393963,0.104952,0.0167781,0.048453,0.0506736,-0.0265467,0.20223,-0.0531951,0.061155,0.163454,0.0975224,-0.0747934,0.0768599,0.153566,0.109849,0.0633948,0.121108,-19219.5
-18763.5,0.954332,0.427157,3,7,0,18780.2,-0.00880652,0.964135,0.218689,-0.00997783,0.262701,0.106866,0.305075,0.16936,0.108284,0.054228,0.18388,0.173121,-0.0620467,0.0227441,0.0519269,-0.03659,0.163842,0.0535968,0.185395,0.173286,-0.0613768,-0.0670461,-0.0998703,-0.107369,0.0130607,-0.0404656,-0.129086,-0.0600043,0.00438549,0.0624839,0.0747514,0.000428519,0.0157961,0.043128,-0.0417068,0.213628,-0.0289142,0.05048,0.156589,0.0620992,-0.0370697,0.0249084,0.0690403,0.0862968,0.0451379,0.0561208,-19200.7
