lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,log_p
# Adaptation terminated
# Step size = 0.40902
# Diagonal elements of inverse mass matrix:
# 3.18805e-05, 2.29708e-05, 0.000218411, 0.000174675, 0.000165436, 0.000173386, 0.0002141, 0.000222271, 0.000176231, 0.000223718, 0.000485218, 0.000379417, 0.000334113, 0.000345739, 0.000181572, 0.000238062, 0.000193294, 0.000255296, 0.000204209, 0.000217939, 0.000193636, 0.000153465, 0.000276739, 0.000185406, 0.000248638, 0.000388022, 0.000455387, 0.000186675, 0.000202015, 0.000279244, 0.000373414, 0.000367331, 0.000279688, 0.000379881, 0.000302041, 0.000250316, 0.000256802, 0.000325021, 0.00241515, 0.00102678, 0.000325592, 0.00109635, 0.0807976, 0.099375, 0.0848206, 0.0816852
-18606,0.795938,0.40902,4,15,0,18628.7,-0.00163302,0.969812,0.195257,-0.0338692,0.354278,0.0880931,0.286085,0.173903,0.0656457,0.0916928,0.251904,0.148279,-0.0227675,0.0922769,0.0727867,-0.0108751,0.152255,0.0557013,0.193594,0.157088,-0.0800539,-0.0392504,-0.155395,-0.139373,-0.017344,-0.0113976,-0.0871736,-0.0539859,-0.0412892,0.0276317,0.107308,0.0432271,0.0285204,0.030038,-0.0231231,0.215534,-0.0526477,0.0497764,0.0991362,0.138585,-0.0908601,0.0405406,0.337245,0.0827225,0.0492351,0.0818565,-55550.7
-18600.5,0.960164,0.40902,3,7,0,18627.5,-0.010076,0.963827,0.199762,-0.0456783,0.31232,0.0777956,0.292389,0.170106,0.0281726,0.0763432,0.215474,0.16413,-0.0330911,0.106353,0.0500018,0.0151838,0.144415,0.0620446,0.167234,0.139291,-0.0742016,-0.059509,-0.14246,-0.153097,-0.03364,-0.016159,-0.103124,-0.0315184,-0.043176,0.0513965,0.111857,0.00724936,0.0503484,0.0318173,-0.00753842,0.219924,-0.0446723,0.043955,0.0756033,0.115551,-0.0626187,0.0298759,0.117446,0.0709539,0.0470072,0.073023,-55550.4
-18603.2,0.808508,0.40902,3,7,0,18624.3,-0.00913302,0.962337,0.226324,-0.044621,0.317224,0.108229,0.302889,0.174691,0.0782734,0.128453,0.272614,0.132279,-0.0449382,0.111979,0.114558,0.0148449,0.135062,0.0529748,0.146802,0.149711,-0.0771352,-0.0518543,-0.106794,-0.150784,-0.0290844,-0.0179712,-0.0951144,-0.070449,-0.0204306,0.0435304,0.0603322,-0.00593686,0.0260926,0.0342571,0.0130666,0.215138,-0.0457136,0.0489158,0.270033,0.108635,-0.0589231,0.018646,0.167383,0.110439,0.0483863,0.0957088,-55553.1
-18597.7,0.970253,0.40902,4,15,0,18624.8,-0.00861056,0.962799,0.181231,-0.0196299,0.322932,0.1097,0.309955,0.181042,0.0176854,0.0567493,0.242813,0.17221,-0.0532946,0.0982233,0.0504309,0.00451666,0.165647,0.0618094,0.137323,0.142295,-0.0788,-0.0597155,-0.133936,-0.146433,-0.0170433,-0.0278839,-0.100117,-0.0735421,-0.0511705,0.0517134,0.11142,0.035193,0.0674637,0.0400883,-0.0160314,0.212189,-0.0405523,0.0567958,0.102117,0.0717008,-0.0832156,0.0615788,0.170429,0.0620537,0.0487493,0.0725323,-55549
-18604.1,0.876675,0.40902,3,7,0,18621.7,0.000361709,0.965023,0.17715,-0.038778,0.278548,0.127845,0.299349,0.176071,0.0475687,0.0819857,0.232232,0.172812,-0.0323622,0.0977952,0.0584408,-0.00258472,0.148961,0.0587087,0.139664,0.158898,-0.075545,-0.0587566,-0.138818,-0.126267,-0.00414868,0.00640834,-0.100526,-0.0761176,-0.0626203,0.0235015,0.11612,-0.00269596,0.053843,0.0261301,-0.0106836,0.226745,-0.0302406,0.0460005,0.159986,0.0556634,-0.0662504,0.0348799,0.0723859,0.0958992,0.0755098,0.0648247,-55552.4
-18602.2,0.895783,0.40902,3,7,0,18630.8,-0.00553919,0.962978,0.210135,-0.0342435,0.307457,0.11312,0.290337,0.18282,0.0742604,0.103767,0.239266,0.187161,-0.0456593,0.129395,0.0697584,0.00858808,0.138835,0.0667961,0.129818,0.125321,-0.0631644,-0.047104,-0.132174,-0.119524,-0.0151484,-0.013401,-0.103213,-0.0724245,-0.0734971,0.0337742,0.110388,-0.00856865,0.0553716,0.0406608,-0.0149075,0.217848,-0.0175121,0.0627629,0.190983,0.0877222,-0.0508233,0.0468083,0.115053,0.0726943,0.0938535,0.0715313,-55553.3
-18605.9,0.793193,0.40902,3,7,0,18630,-0.00241128,0.964384,0.217943,-0.0338449,0.295721,0.118989,0.293288,0.190868,0.0745409,0.118573,0.237661,0.188587,-0.038833,0.132956,0.059885,0.00664355,0.138577,0.076028,0.12598,0.127457,-0.0633007,-0.0541989,-0.112735,-0.129078,-0.00561738,-0.0141633,-0.102727,-0.0697961,-0.0620178,0.0352204,0.110984,-0.00838523,0.060175,0.0420077,-0.0153303,0.220284,-0.0213482,0.0557985,0.205009,0.117821,-0.0500436,0.0831155,0.0996906,0.0618626,0.0826847,0.0690573,-55555.6
-18594.9,0.973616,0.40902,3,7,0,18620.4,-0.00687776,0.969218,0.201977,-0.0288113,0.311867,0.105261,0.307603,0.186585,0.0376263,0.0838907,0.253224,0.155601,-0.0503361,0.0715547,0.0722597,0.004812,0.149183,0.0517332,0.141562,0.17182,-0.0728308,-0.0350756,-0.135883,-0.136314,-0.0199478,-0.023203,-0.0839491,-0.0554402,8.00325e-05,0.0409508,0.0707229,-0.00079661,0.0640494,0.0276698,0.00270553,0.202164,-0.0403791,0.0445159,0.097692,0.0906506,-0.0696558,0.0113975,0.132639,0.119827,0.0528132,0.0615229,-55544.2
-18594.6,0.91067,0.40902,3,7,0,18613.1,-0.00757524,0.96366,0.201491,-0.056339,0.304596,0.0990795,0.298574,0.1806,0.0827704,0.0990373,0.239369,0.149886,-0.0274671,0.112282,0.0858229,0.012069,0.142198,0.0770873,0.149802,0.138388,-0.0664725,-0.053002,-0.132445,-0.157595,-0.0215285,-0.00920963,-0.10758,-0.077663,-0.0441585,0.049706,0.117813,0.0224029,0.0222475,0.033239,-0.0127609,0.223635,-0.0271557,0.0574075,0.21536,0.0629472,-0.0347022,0.0998037,0.123652,0.0621032,0.0655012,0.0905469,-55543
-18603.4,0.710541,0.40902,3,7,0,18621.6,-0.00213525,0.966949,0.196845,-0.059997,0.312714,0.0931867,0.304724,0.185493,0.0577024,0.0850411,0.26393,0.123233,-0.067629,0.10974,0.0819564,-0.000771275,0.162501,0.0240521,0.119568,0.129835,-0.0475329,-0.0462254,-0.144006,-0.129911,-0.0282683,-0.00107009,-0.10547,-0.0502001,-0.015541,0.0626396,0.0908206,0.00765317,0.0525118,0.0368118,-0.0310572,0.237917,-0.0370352,0.0679838,0.115965,0.115949,-0.0477127,0.0763797,0.18719,0.0878236,0.075383,0.12765,-55549.9
-18603,0.790148,0.40902,3,7,0,18626.3,-0.00526744,0.960069,0.194146,-0.0572975,0.313395,0.0939023,0.32339,0.189618,0.0229801,0.0796189,0.278262,0.129095,-0.0486061,0.109407,0.0634378,0.0121266,0.153331,0.0387268,0.123797,0.13985,-0.0686733,-0.033102,-0.144497,-0.127605,-0.0115336,-0.0128249,-0.105508,-0.0689453,-0.017351,0.0488032,0.0955345,0.0197623,0.0338092,0.0230945,-0.0149232,0.24964,-0.0438929,0.0851798,0.194034,0.109299,-0.060134,0.058485,0.128093,0.106402,0.0682535,0.109905,-55551.4
-18608.5,0.891379,0.40902,3,15,0,18630.3,-0.0205201,0.964436,0.218371,-0.0464252,0.352181,0.0877149,0.285163,0.188443,0.0871464,0.112182,0.229008,0.161661,-0.0355551,0.0919135,0.0856836,0.0184386,0.174224,0.0440536,0.128359,0.161819,-0.0663864,-0.0238201,-0.157066,-0.120867,-0.030391,-0.0114803,-0.102706,-0.0659789,-0.0242581,0.052402,0.101043,0.0469952,0.0311807,0.0282563,-0.0030596,0.25323,-0.0331726,0.0602607,0.233277,0.0796047,-0.0593276,0.0808138,0.177454,0.0935411,0.0671723,0.0974586,-55557.4
-18604.9,0.98236,0.40902,3,15,0,18629.7,-0.00797872,0.970957,0.208024,-0.0511302,0.33576,0.101872,0.267886,0.212027,0.0517756,0.098891,0.272446,0.150607,-0.0550852,0.0778573,0.0680649,0.0089662,0.131168,0.0345595,0.121342,0.154883,-0.0716814,-0.0419956,-0.163414,-0.133276,-0.00750698,-0.0204713,-0.0896935,-0.101346,-0.0102334,0.034944,0.0914966,0.033487,0.0595527,0.0347287,-0.0221402,0.240352,-0.0347179,0.0578829,0.194769,0.0932113,-0.0423684,0.0725257,0.127291,0.052606,0.0459985,0.0773443,-55552.4
-18603.7,0.980413,0.40902,4,15,0,18628,-0.00485114,0.969337,0.197906,-0.0493791,0.285453,0.0986047,0.337049,0.155689,0.0707776,0.0810344,0.23672,0.156986,-0.0425525,0.0920687,0.0819595,-0.00109754,0.177758,0.093836,0.153963,0.134996,-0.06719,-0.0545251,-0.105201,-0.173906,-0.0439457,-0.0153772,-0.111123,-0.0596641,-0.0521354,0.0445807,0.0919707,-0.0335316,0.0391178,0.0324431,0.0052919,0.20803,-0.0716847,0.0708377,0.158833,0.129252,-0.0879381,0.0902896,0.0949364,0.0820301,0.0520394,0.0777896,-55552.8
-18608.1,0.567054,0.40902,3,15,0,18634.1,-0.010836,0.966159,0.211724,-0.0377297,0.296235,0.119063,0.31006,0.162044,0.0851345,0.0958239,0.251328,0.159966,-0.0414799,0.0987856,0.08221,-0.00674823,0.183269,0.0790515,0.161736,0.141894,-0.0647057,-0.0581057,-0.121783,-0.160087,-0.0289856,-0.0160146,-0.1318,-0.0423387,-0.0483314,0.0498791,0.10559,0.0111039,0.0218319,0.0507902,0.000803857,0.180839,-0.0643954,0.0579555,0.126713,0.159926,-0.086843,0.0773416,0.148742,0.06567,0.0626095,0.112998,-55553.8
-18604.8,1,0.40902,3,7,0,18632.1,-0.00491107,0.967063,0.191686,-0.0224462,0.304243,0.102175,0.333798,0.148771,0.0549247,0.0802939,0.27138,0.145244,-0.0418887,0.0914624,0.0638809,-0.0203879,0.172249,0.0885817,0.164159,0.153437,-0.0690496,-0.0579045,-0.133894,-0.159973,-0.0272143,-0.00403283,-0.131648,-0.0657838,-0.0590968,0.0542088,0.106473,0.0162399,0.025418,0.050981,0.00891585,0.208656,-0.0395001,0.0599231,0.0593501,0.130637,-0.065793,0.0414899,0.119901,0.100462,0.0433305,0.0894689,-55551.3
