lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,mu_inner_beta,sigma_inner_beta,log_p,rmse
# Adaptation terminated
# Step size = 0.254252
# Diagonal elements of inverse mass matrix:
# 1.23676e-05, 1.15837e-05, 0.000124162, 0.000110272, 0.000128325, 9.75187e-05, 0.000125802, 0.000112458, 0.00013563, 0.00012675, 0.000127483, 0.000117605, 0.000186432, 0.000181929, 0.000144129, 0.000182866, 0.000221469, 0.000132653, 0.000141539, 0.00016013, 0.00014794, 0.000110327, 0.000100613, 0.00010667, 0.000111327, 0.000119519, 9.91148e-05, 0.000164917, 0.000112927, 0.000152942, 0.000127359, 0.000153368, 0.000113909, 9.83532e-05, 0.000110666, 0.000122881, 0.000130162, 0.000151973, 0.000120925, 0.000181673, 0.000204172, 0.000151727, 0.000141893, 0.000135674, 0.000124621, 0.000121248, 0.00015618, 0.000769192, 0.000246541, 0.00039058, 0.000580303, 0.000327608, 0.122918, 0.0876455, 0.0912283, 0.0879987, 0.0796625, 0.0011762, 0.46696
-178223,0.997802,0.254252,4,15,0,178267,-0.0115547,0.99906,-0.042633,-0.0755843,-0.067238,-0.126481,0.0467405,0.020908,-0.0109231,-0.0807245,0.0403406,0.0761912,0.0856523,0.0306387,0.0830402,0.00860037,0.00732597,0.0789769,0.0320139,-0.00270452,-0.0262929,0.0536526,0.116134,0.00563585,0.0863026,0.0349056,-0.06537,-0.00420769,0.072515,0.0684727,0.03535,0.02862,0.0439275,0.0594253,0.00706239,0.199781,-0.0229817,0.120071,0.0123267,-0.0332487,0.0828433,0.0528402,0.0436417,0.0408983,0.0288121,-0.0678521,0.0775077,0.00889001,0.0648712,0.0318404,0.0553073,0.0317071,0.0976457,0.0534388,0.0778837,0.043664,0.0558743,0.0537994,0.141976,-168007,0.99328
-178217,0.957581,0.254252,4,15,0,178255,-0.0110958,0.999298,-0.0507495,-0.0520658,-0.0555664,-0.137585,0.0430654,0.000359051,-0.0515563,-0.0845147,0.00356698,0.108414,0.121839,0.0685386,0.0746472,0.0255109,0.019226,0.0906549,0.0379519,0.0065818,0.0349904,0.0132811,0.115284,0.0133618,0.0977692,0.0314455,-0.0651763,0.00360617,0.0438386,0.0484933,0.0778579,0.0402923,0.0193139,0.0485537,-0.00164528,0.198734,0.0276172,0.101045,-0.0181145,-0.0261219,0.113748,0.0474463,0.0461256,0.00971702,0.0329513,-0.0770891,0.104254,-0.0629655,0.0439749,0.0456422,0.0483236,0.000544054,0.0460287,0.0325078,0.0459119,0.120218,0.0644698,0.0696461,0.0511385,-168060,0.993722
-178210,1,0.254252,4,15,0,178252,-0.00911533,0.99762,-0.0488043,-0.0631852,-0.059096,-0.137881,0.0370782,0.000958336,-0.0449726,-0.0633411,0.000294724,0.0887059,0.118653,0.0697034,0.0700713,0.0268267,0.0131567,0.098556,0.0349203,0.0245847,0.0269289,0.0232268,0.113764,-0.0023065,0.0997917,0.0339649,-0.0704823,-0.00301266,0.02823,0.0459883,0.0820928,0.0393196,0.0366345,0.0603852,0.0168698,0.198998,0.0204238,0.100139,-0.0108051,-0.0374422,0.0989738,0.0468297,0.0366018,0.0168925,0.0486148,-0.0616127,0.101834,-0.0311683,0.061951,0.0151721,0.0690841,0.00119545,0.0669289,0.0470517,0.0664305,0.081296,0.0574232,0.0536309,0.0838282,-168035,0.993531
-178207,0.984379,0.254252,4,15,0,178231,-0.0103359,0.998675,-0.0463392,-0.0636917,-0.0647883,-0.112514,0.0466219,0.0245825,-0.0111122,-0.0904603,0.0189604,0.0913789,0.0957751,0.030523,0.0765723,0.00945019,0.00985016,0.0774752,0.0280607,0.00112003,-0.00633356,0.042753,0.112638,0.00567223,0.0586855,0.0278265,-0.0587506,0.00489859,0.0704811,0.0778025,0.0357872,0.0379025,0.0316223,0.0313832,-0.000994238,0.191336,-0.00401368,0.124526,0.00317336,-0.015788,0.0779908,0.0564864,0.0567536,0.0361446,0.0024888,-0.106341,0.0813769,-0.0229493,0.0463251,0.0370241,0.0568854,0.0129498,0.0840822,0.0338042,0.0523852,0.0487719,0.0871421,0.00521208,0.0479754,-167996,0.993188
-178213,0.825056,0.254252,4,15,0,178246,-0.00840683,0.996053,-0.0381239,-0.0546059,-0.0593494,-0.127067,0.0436478,0.0122997,-0.00473157,-0.0842211,0.00987614,0.0963723,0.10135,0.0272711,0.0770991,0.0219163,0.0117209,0.0648899,0.022693,-0.00712815,-0.00846972,0.0459598,0.126834,-0.00744089,0.0588687,0.0328191,-0.0652645,0.00291087,0.0651477,0.0612765,0.0479746,0.0589323,0.0491605,0.0387762,-0.00318251,0.207102,-0.00693794,0.120769,-0.000231659,-0.0126262,0.0784167,0.0624761,0.0512593,0.0478708,0.0186178,-0.111856,0.0755316,0.00849603,0.0396208,0.0223483,0.00549648,0.00363456,0.0554183,0.0285517,0.0448813,0.0756256,0.098525,0.00276972,0.036567,-167988,0.993141
-178201,1,0.254252,4,15,0,178235,-0.00999754,0.997416,-0.0468659,-0.0639427,-0.0641587,-0.132379,0.0252145,0.023582,-0.0176621,-0.078157,0.0107821,0.0911086,0.114857,0.0469628,0.0753645,0.0178565,0.00849086,0.0960349,0.0319792,0.0207583,0.0229478,0.0201313,0.139661,-0.0106806,0.0930909,0.0236879,-0.0587447,-0.0143435,0.051337,0.0426521,0.0760928,0.0246908,0.0325763,0.0529217,0.0102266,0.181247,-0.00282276,0.101286,0.000483597,-0.0326991,0.0875908,0.0464371,0.0488695,0.0405778,0.0320351,-0.0740638,0.100674,-0.0650059,0.0516757,0.0483042,0.0338813,0.00859664,0.0608981,0.0635684,0.0762029,0.0936726,0.0624465,0.0213538,0.0373702,-168024,0.993439
-178199,0.981452,0.254252,4,15,0,178226,-0.0103748,0.996711,-0.0437724,-0.0338736,-0.067147,-0.115351,0.0581231,0.012157,-0.0283128,-0.073557,0.00669877,0.0932736,0.0956523,0.0542497,0.0727064,0.0192969,0.00975098,0.0682523,0.0223702,0.00779931,-0.000978894,0.0556758,0.0932669,0.00526303,0.0680069,0.0425622,-0.0630994,0.0141411,0.0574477,0.0550796,0.05341,0.0520888,0.0308583,0.035403,-0.00619077,0.206217,0.0045852,0.119884,-0.00995569,-0.0170177,0.0836524,0.0419189,0.0471724,0.0121104,0.0218562,-0.0833819,0.0811189,0.00206211,0.0475998,0.0184259,0.0645468,0.0374679,0.0815084,0.0271992,0.0447841,0.050774,0.0465085,0.0312385,0.0142539,-167986,0.993126
-178209,0.523633,0.254252,4,15,0,178227,-0.0101298,0.997908,-0.0481282,-0.0797297,-0.059731,-0.13887,0.0303214,0.0189471,-0.0248954,-0.0784091,0.0169492,0.0867542,0.120013,0.046338,0.0755415,0.0147627,0.0121589,0.104875,0.0321202,0.0184468,0.0209728,0.0174444,0.14216,-0.00467869,0.0954881,0.0279386,-0.0633287,-0.00301921,0.052911,0.056592,0.0687769,0.024442,0.036785,0.0563668,0.00804569,0.186167,-0.00216476,0.091577,-0.000467367,-0.034703,0.0879674,0.0587753,0.05425,0.0446249,0.0322949,-0.0821798,0.100332,-0.0850679,0.0545134,0.063812,0.0423971,0.0106243,0.0917029,0.0573405,0.157412,0.104417,0.0725318,0.00811185,0.0525448,-168045,0.993614
-178197,0.9653,0.254252,4,15,0,178231,-0.0068435,0.998063,-0.0503633,-0.0509623,-0.0728858,-0.117243,0.0561065,0.0184395,-0.0208948,-0.0632975,0.0159694,0.0928982,0.0951834,0.0533836,0.0771734,0.022842,-0.00726209,0.0876763,0.0186489,0.0269594,-0.00637599,0.0378848,0.118821,0.00357273,0.0791722,0.0344349,-0.063259,-0.02003,0.0546361,0.0436442,0.0557028,0.044893,0.0347827,0.0428232,0.00183266,0.208996,0.000696588,0.117804,-0.00693538,-0.0100344,0.0822709,0.0390148,0.055436,0.0211261,0.0163407,-0.0773205,0.0828383,-0.0124486,0.0497258,0.0461025,0.0758361,0.0046664,0.074442,0.042498,0.0526086,0.0445995,0.0542121,0.071218,0.0721376,-168006,0.99328
-178199,0.897818,0.254252,4,15,0,178230,-0.00987803,0.997466,-0.0484314,-0.058846,-0.0870595,-0.116586,0.044745,0.0222864,-0.0276194,-0.073977,0.00423179,0.0821051,0.0901216,0.0504072,0.0528301,0.0191413,-0.00662548,0.0936706,0.0437597,0.0272193,0.00193785,0.0361004,0.130709,0.00909152,0.074791,0.0244952,-0.0665803,-0.00984545,0.0453497,0.0562387,0.0620316,0.0144434,0.0459413,0.0465661,0.000527751,0.213841,0.000342776,0.115429,-0.00565175,-0.0193241,0.0614391,0.0394875,0.0450473,0.0182192,0.0169391,-0.0815264,0.0811365,-0.0172109,0.0522221,0.0389656,0.0592885,0.0141281,0.0599364,0.0426239,0.0673923,0.0638557,0.0522648,0.0288934,0.0448529,-168004,0.993271
