# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_model
# start_datetime = 2025-03-23 20:04:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/6ti7noxb.json
# init = 2 (Default)
# random
#   seed = 69587
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens/h2reg-20250323150456_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,mu_inner_beta,sigma_inner_beta,log_p,rmse
-178213,0.972132,0.288658,4,15,0,178241,-0.00796516,0.997501,-0.0243518,-0.0650385,-0.0690072,-0.122197,0.0485898,0.00246947,-0.0387851,-0.0759234,-0.000889925,0.0837725,0.117804,0.0413892,0.0572596,0.00119048,-0.00786592,0.0729264,0.0277891,0.0196167,0.00741942,0.0270407,0.107694,-0.00539732,0.0803635,0.0206225,-0.0829435,-0.00920156,0.037611,0.0453386,0.0627097,0.0195479,0.0265469,0.0404889,0.0289874,0.195007,-0.00255512,0.109111,-0.019573,-0.0208453,0.0870485,0.0673486,0.0534321,0.0155803,0.0395829,-0.0655912,0.106899,-0.0533651,0.066511,0.0604715,0.0602758,0.046261,0.0446172,0.0357262,0.0754627,0.102664,0.0575432,-0.0312784,0.0642148,-167993,0.993179
-178209,0.994633,0.288658,4,15,0,178245,-0.00919261,0.998358,-0.0320799,-0.0756622,-0.0685847,-0.110076,0.0439185,-0.00139613,-0.0415491,-0.0847632,-0.0095061,0.0753576,0.106579,0.0281957,0.0811572,0.0180596,-0.00421232,0.084143,0.0180967,0.0170603,0.0103239,0.0295547,0.105519,0.0117983,0.0822129,0.04043,-0.0683888,-0.0249751,0.0539038,0.0404693,0.0595765,0.0443485,0.0447123,0.0386218,0.0156972,0.174634,0.00207284,0.0941846,-0.0289907,-0.0253459,0.0895791,0.0382216,0.0534974,0.0204047,0.0230112,-0.0847816,0.0728493,-0.0310972,0.0182088,0.0262816,0.0518331,0.0606584,0.0411229,0.0414905,0.0525888,0.0783936,0.0872351,0.0139069,0.0653031,-167992,0.993162
-178216,0.979523,0.288658,4,15,0,178237,-0.00751205,0.998026,-0.0588717,-0.0419759,-0.0651414,-0.145833,0.0490872,0.0300134,-0.0162888,-0.0662825,0.0277915,0.112247,0.117637,0.0650467,0.0602978,0.00874656,0.0204084,0.102792,0.0319794,0.00849037,0.0200726,0.043464,0.109422,-0.00100379,0.071328,0.0272047,-0.0492559,0.0319748,0.0556966,0.0705484,0.0596873,0.0342057,0.0231374,0.0555836,-0.0120004,0.224267,-0.00581478,0.116647,0.0197217,-0.0217348,0.0979525,0.0662544,0.0525018,0.0370713,0.0264825,-0.0907537,0.113722,-0.02525,0.0701769,0.0361609,0.0678266,0.0947662,0.0807465,0.0830907,0.0432912,0.0603463,0.118918,0.061743,0.0495288,-168064,0.993768
-178214,0.999684,0.288658,4,15,0,178242,-0.00911357,0.998419,-0.0453859,-0.07789,-0.0613629,-0.108301,0.0400538,-0.000521056,-0.0377658,-0.0917966,0.00329325,0.0881763,0.108927,0.0536102,0.0896033,0.0124908,0.0189553,0.0744817,0.0159103,0.00628856,0.0160937,0.0224228,0.115535,0.00737142,0.0827457,0.0365711,-0.0683138,-0.0305308,0.0522245,0.043871,0.0633376,0.0373775,0.0525377,0.0420327,0.0182225,0.175046,0.0297898,0.0926226,-0.0301759,-0.03207,0.0843878,0.0505795,0.0588002,0.0240142,0.0270542,-0.0774932,0.0686407,-0.0036041,0.0712618,0.0273689,0.054232,0.0980268,0.0664816,0.0472836,0.0567375,0.0755649,0.153093,0.0588156,0.0649251,-168003,0.993249
-178213,0.959455,0.288658,4,15,0,178250,-0.00833178,0.997981,-0.0344057,-0.0634526,-0.0777214,-0.140996,0.0336487,0.00599466,-0.0415871,-0.0762104,0.00732841,0.103641,0.090885,0.0364705,0.0597373,0.019997,-0.00324885,0.0847289,0.0317176,-0.000568701,-0.00724582,0.0422649,0.0938549,0.0132504,0.0829253,0.0197255,-0.0443779,0.013145,0.0620008,0.0605563,0.0465507,0.0329073,0.0233379,0.0520871,-0.013875,0.197487,0.0121572,0.104972,0.00662141,-0.0280286,0.0736553,0.0477416,0.0523943,0.0188734,0.0344572,-0.0870934,0.105486,0.0227134,0.0278484,0.0392691,0.0961219,0.011631,0.103821,0.0410776,0.0578605,0.105176,0.0315142,0.0142146,0.0242692,-168018,0.993382
-178221,0.999706,0.288658,4,15,0,178251,-0.0078573,0.997947,-0.041293,-0.0215203,-0.054373,-0.105796,0.0489896,0.0461384,-0.00551742,-0.0770902,0.0235503,0.0960765,0.110426,0.0631815,0.0794749,0.00872884,0.0239622,0.0883713,0.0342783,0.0291724,0.0208965,0.0221412,0.110045,-0.000723219,0.0701896,0.0126295,-0.0748572,0.00229238,0.0586615,0.0618922,0.060319,0.049368,0.0462455,0.0504786,0.0183372,0.191673,0.00925306,0.105192,-0.00856717,-0.0044145,0.112986,0.0638166,0.0624575,0.0388896,0.037093,-0.0870359,0.071475,-0.0353312,0.0731978,0.0147062,0.00902091,0.0501692,0.0592047,0.0364617,0.0435734,0.0503841,0.157811,0.0495577,0.0557197,-168006,0.993283
-178202,0.990418,0.288658,4,15,0,178246,-0.00854588,0.9982,-0.0539233,-0.0537304,-0.0596813,-0.114029,0.0466776,0.0305389,-0.0244722,-0.0848798,0.00589738,0.105503,0.0918614,0.0431056,0.0803396,0.00705754,0.0283667,0.101309,0.0323329,0.0042006,0.00685896,0.0172258,0.113174,0.00572925,0.0871532,0.0364946,-0.0554354,-0.0109879,0.0546744,0.0628097,0.0634316,0.0693169,0.0369736,0.0424154,-0.0124394,0.183996,-0.0106127,0.0992882,-0.0135951,-0.016455,0.102809,0.0644805,0.0597211,0.0156071,0.04636,-0.0888725,0.0833012,-0.0370207,0.0488512,0.0224083,0.0591709,0.0358555,0.0422947,0.034581,0.0474137,0.0918268,0.0818299,0.0291301,0.0555096,-168014,0.993346
-178202,0.975846,0.288658,4,15,0,178229,-0.00776823,0.997847,-0.0348188,-0.0593555,-0.0532872,-0.134263,0.0361163,0.00189285,-0.0331921,-0.0664686,0.00356836,0.0838217,0.122271,0.0418863,0.0689461,0.030335,0.000504278,0.0879194,0.0192598,0.0265318,0.00106038,0.047487,0.116588,-0.000550793,0.0699449,0.0336036,-0.0787321,0.0170613,0.0357343,0.0629687,0.0686064,0.0253634,0.0410452,0.0443915,0.0156445,0.192416,0.0346641,0.114174,0.00376031,-0.0303094,0.0632032,0.0378577,0.0498779,0.0358463,0.0292041,-0.0666142,0.0981756,-0.0103921,0.0582302,0.0199301,0.0652708,0.0181229,0.0676388,0.0503953,0.0760244,0.034895,0.0439683,0.032225,0.032513,-168006,0.993283
-178219,0.618199,0.288658,4,15,0,178247,-0.00458044,0.99703,-0.032899,-0.0646344,-0.0460362,-0.132264,0.0294732,0.00896455,-0.0419058,-0.067431,-0.00693331,0.076149,0.121159,0.0334274,0.0735385,0.0274294,0.0135048,0.0885164,0.0379586,0.0264294,-0.00504735,0.0417477,0.127425,-0.0213197,0.0721309,0.031735,-0.0847217,0.0106518,0.0483994,0.0607667,0.0607229,0.0191373,0.034162,0.0484642,0.0268336,0.19168,0.0370741,0.122249,-0.00343292,-0.0256588,0.056455,0.0401543,0.0508708,0.036815,0.0311262,-0.0691512,0.10277,0.0100354,0.058939,0.0231173,0.0601031,0.0416681,0.0430939,0.0459879,0.106294,0.0414447,0.0395384,0.0148882,0.039623,-167998,0.993222
-178217,1,0.288658,4,15,0,178248,-0.00566065,0.995721,-0.0379119,-0.0680961,-0.0460555,-0.131883,0.0241835,0.0146338,-0.0385176,-0.0674166,-0.0074361,0.0734228,0.118648,0.0334298,0.0708736,0.031112,0.0191637,0.0893546,0.0413734,0.0284061,-0.00467799,0.0433089,0.1289,-0.0189073,0.06741,0.0266473,-0.0812633,0.0165126,0.0479214,0.0573077,0.056858,0.0204142,0.0346284,0.0469056,0.0234837,0.190363,0.0388829,0.120937,-0.00893471,-0.0270515,0.0583288,0.0413051,0.0539072,0.0343563,0.029657,-0.075317,0.10106,-0.00164334,0.0633809,0.0221049,0.0735135,0.0453938,0.0456427,0.0406684,0.106041,0.0422302,0.048084,0.0215725,0.0353844,-167997,0.993218
-178215,0.96617,0.288658,4,15,0,178250,-0.00800915,0.996281,-0.0537301,-0.0604187,-0.0907331,-0.129614,0.0552919,0.0215725,-0.0205116,-0.0753468,0.0305672,0.103145,0.0878973,0.0590528,0.0755652,0.00712506,0.00955162,0.0880181,0.0120937,0.00198104,0.0134111,0.0536338,0.0901683,0.00829551,0.0889692,0.0456885,-0.0323559,0.000359135,0.0621483,0.0514164,0.0453964,0.0427188,0.0264507,0.0391604,-0.0180259,0.197544,-0.0282329,0.109271,-0.00893361,-0.0243064,0.122468,0.0764438,0.0479892,0.0292528,0.0198939,-0.0872501,0.0961464,-0.0560065,0.0339959,0.044972,0.0256488,-0.0163958,0.0696506,0.047639,0.0369259,0.0963995,0.119048,-0.00191816,0.0445813,-168038,0.99356
-178209,0.922573,0.288658,4,15,0,178255,-0.00985975,0.996565,-0.0272145,-0.0515722,-0.0598375,-0.132852,0.0451679,0.00470555,-0.0247007,-0.0874252,-0.00606052,0.0727115,0.128926,0.0330201,0.0702946,0.0108035,0.00934879,0.0897415,0.0422834,0.0122345,0.0258071,0.0115955,0.120145,0.00267645,0.058865,0.0329526,-0.0660436,0.00665226,0.0597992,0.0592538,0.073964,0.036691,0.042261,0.0427319,0.0137554,0.196825,0.0195684,0.109099,-0.00532251,-0.0158573,0.0680787,0.0374368,0.0512073,0.0175672,0.0501802,-0.0587789,0.0832808,-0.00975696,0.0607773,-0.00394395,0.0755411,0.0466778,0.0871515,0.0419411,0.0602944,0.046728,0.0382392,0.051179,0.04731,-168011,0.993336
-178212,0.877973,0.288658,4,15,0,178239,-0.00988281,0.999135,-0.0649056,-0.0610187,-0.0609205,-0.115054,0.0363682,0.0192709,-0.0310532,-0.0642605,0.0225444,0.106086,0.0874564,0.065412,0.0751829,0.0195725,0.0108103,0.0871425,0.0108239,0.0158545,-0.00586634,0.0625896,0.106644,0.00727487,0.10054,0.035133,-0.0558313,0.00394783,0.0500933,0.0514422,0.0477251,0.0376281,0.0298394,0.0489161,-0.0108226,0.192654,-0.0103535,0.103839,-0.00387152,-0.0353436,0.103143,0.0671273,0.052187,0.0409852,0.00305212,-0.103173,0.0968347,-0.0185366,0.0340383,0.0429199,0.0261851,-0.0476261,0.0437469,0.0423275,0.0729394,0.103919,0.139317,-0.00714478,0.0497233,-168007,0.993275
-178216,0.991415,0.288658,4,15,0,178237,-0.00651678,0.997045,-0.0554204,-0.0698392,-0.0679795,-0.121299,0.0409167,0.01466,-0.0420579,-0.0605262,0.0202991,0.1039,0.0777877,0.0660615,0.0650053,0.0317876,0.0132471,0.0838668,0.0120508,-5.28813e-05,-0.017614,0.0595284,0.104374,0.0186473,0.0993107,0.0236421,-0.0643164,0.00973932,0.0474058,0.0574934,0.0658155,0.028778,0.0323611,0.0469557,0.00848541,0.199182,0.0155934,0.099887,0.00503845,-0.0339338,0.103807,0.0642263,0.0442637,0.0348341,0.0104283,-0.0918847,0.0997094,-0.0334471,0.0413533,0.0612972,0.0203841,-0.0507741,0.0541934,0.0471141,0.0781186,0.0760797,0.125909,-0.00699084,0.0401391,-168004,0.99327
-178206,0.950818,0.288658,4,15,0,178251,-0.0110393,0.998447,-0.0406226,-0.0572426,-0.0571749,-0.137078,0.0404531,0.0191443,-0.0252723,-0.0665642,-6.0727e-05,0.078943,0.123631,0.032751,0.0758757,0.00709114,0.0137888,0.0991899,0.0335341,0.0231387,0.0250187,0.0421333,0.123898,0.00203863,0.0754855,0.0373627,-0.068535,-0.0157806,0.0605594,0.061469,0.0524451,0.0479125,0.0313819,0.0437414,-0.00357112,0.197036,-0.0258944,0.118576,-0.0277609,-0.0167324,0.0693713,0.059509,0.0519904,0.0328416,0.0247474,-0.0781924,0.0883895,-0.0363517,0.052332,0.0227021,-0.00281664,0.0652133,0.0538662,0.0508197,0.0441525,0.125809,0.0427736,0.0316907,0.0363634,-168019,0.993387
-178207,0.991704,0.288658,4,15,0,178231,-0.00894846,0.998544,-0.0455365,-0.0551339,-0.0702275,-0.119475,0.0511678,0.00289759,-0.0275871,-0.0932405,0.0213285,0.0988466,0.0878128,0.0675477,0.0757891,0.0259887,0.00821552,0.0766969,0.0168799,-0.00133007,0.000805548,0.0157227,0.093663,0.000604308,0.0860737,0.021974,-0.0553484,0.00520663,0.0387031,0.0425188,0.0653745,0.0155115,0.0398162,0.0291252,0.00261886,0.185967,0.0141046,0.101959,0.00843384,-0.0384332,0.0934052,0.0518451,0.0448474,0.0287766,0.0236359,-0.073,0.105149,-0.0114126,0.0472827,0.0214636,0.070627,-0.0291817,0.0733367,0.0337094,0.0693169,0.0418695,0.110746,0.00657699,0.033166,-168014,0.993344
-178214,0.914373,0.288658,4,15,0,178238,-0.00623047,0.997904,-0.0458856,-0.0614069,-0.0668391,-0.136088,0.0382305,0.0299974,-0.0128646,-0.0703657,0.0124587,0.0546407,0.114843,0.0282165,0.0638159,0.00288467,0.0161354,0.0915991,0.0360929,0.0219397,0.0148601,0.0478985,0.12196,0.00684417,0.0706483,0.0474755,-0.0670289,-0.000306888,0.0729371,0.0687235,0.0639391,0.0786223,0.0360074,0.0785474,0.0130552,0.189054,0.00462089,0.11496,-0.0140906,-0.0232081,0.0909934,0.0590595,0.0649307,0.0207543,0.0189176,-0.10304,0.0793819,-0.0513282,0.040383,0.0436762,0.043977,0.0156772,0.0601636,0.0337719,0.0506279,0.0731496,0.0678512,0.0277822,0.0846508,-168001,0.99324
-178217,0.948944,0.288658,4,15,0,178243,-0.0055499,0.99846,-0.0490705,-0.0509137,-0.0585508,-0.115888,0.0427653,-0.00318495,-0.0437679,-0.0828186,0.010136,0.11714,0.100303,0.073653,0.0800272,0.0252744,0.00425824,0.0866538,0.0110898,0.0125128,0.00494558,0.0251695,0.107514,-0.00660038,0.091623,0.012153,-0.0665858,0.00368624,0.0309263,0.0416993,0.0574857,-0.00241025,0.0255302,0.0133156,-0.010914,0.197523,0.0108252,0.0971179,0.00650441,-0.0211726,0.0880086,0.0403368,0.0459195,0.0357531,0.0230802,-0.061868,0.09841,-0.0161574,0.0569372,0.0343531,0.0558019,0.0344573,0.0588307,0.0628526,0.105423,0.052296,0.049986,0.0479267,0.0230559,-168021,0.993405
