lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.493503
# Diagonal elements of inverse mass matrix:
# 3.21717e-05, 2.28865e-05, 0.000159267, 0.000178839, 0.000229997, 0.00017963, 0.000353981, 0.000404175, 0.00020459, 0.00018601, 0.000208207, 0.000191658, 0.000213216, 0.000237463, 0.000364669, 0.000200613, 0.000315578, 0.000376041, 0.000342617, 0.000308373, 0.00269254, 0.00114395, 0.0860117, 0.0967717
-18996.4,0.952985,0.493503,3,7,0,19003.8,-0.00680262,0.975105,0.108019,-0.0314258,0.279865,0.0891064,0.316173,0.138438,-0.00166299,0.0956711,0.247952,0.149995,-0.0312028,0.0669585,0.0573933,-0.00955592,0.158532,0.144186,0.113158,0.176715,0.180337,0.115618,0.0979624,0.139757,-19219.4
-18999.7,0.802913,0.493503,3,7,0,19010.5,-0.0074684,0.976571,0.123142,-0.0332799,0.256297,0.114615,0.341975,0.147073,0.0219363,0.0873613,0.214123,0.130876,-0.0407767,0.105063,0.0705211,0.000594074,0.147909,0.0775375,0.141198,0.175618,0.0637418,0.0741467,0.196397,0.0462288,-19220.3
-18999.7,0.986485,0.493503,3,7,0,19010.7,-0.00242388,0.979773,0.128494,-0.0327389,0.270432,0.130957,0.32736,0.135593,0.00429016,0.0920754,0.216478,0.12815,-0.0543088,0.0951219,0.0771988,0.00383652,0.168383,0.0915091,0.124107,0.189081,0.0549101,0.0689023,0.122691,0.100122,-19224.4
-19001.6,0.812395,0.493503,3,7,0,19014.2,-0.00679522,0.975793,0.116772,-0.0483493,0.265816,0.115084,0.309161,0.136172,-0.00532695,0.111813,0.232403,0.125007,-0.0551279,0.067086,0.0789193,-0.0224374,0.193576,0.112338,0.122849,0.167467,0.113763,0.0238495,0.230417,0.126875,-19215.3
-19000,0.869648,0.493503,3,7,0,19016.9,-0.00719172,0.974697,0.112237,-0.032418,0.238304,0.0925193,0.335901,0.15875,0.0286706,0.0958713,0.243648,0.154418,-0.0270057,0.0906974,0.0499589,0.0169478,0.123885,0.119259,0.122213,0.179131,0.0819627,0.15932,0.102564,0.103681,-19224
-18999.6,0.99253,0.493503,3,7,0,19008,-0.00545104,0.98042,0.115881,-0.0511412,0.280727,0.109315,0.315021,0.130548,-0.0147738,0.0911293,0.223093,0.125341,-0.0444456,0.0812527,0.0778798,-0.0110526,0.19519,0.117096,0.149212,0.1766,0.226886,0.0478585,0.159918,0.0730006,-19220
-18996.2,1,0.493503,3,7,0,19008.2,-0.00454263,0.972656,0.1122,-0.0420889,0.243382,0.113477,0.317444,0.147246,0.0235388,0.0688002,0.219426,0.130864,-0.0371882,0.0883468,0.0640648,-0.00959495,0.175926,0.109868,0.136753,0.156973,0.268404,0.0696913,0.180644,0.0867643,-19205.2
-18998.4,0.800277,0.493503,3,7,0,19008.8,-0.0123534,0.972431,0.116972,-0.0376521,0.235178,0.129874,0.338984,0.132671,0.0326599,0.0867306,0.236893,0.167404,-0.041073,0.082932,0.060764,0.0127463,0.177157,0.113118,0.145319,0.180953,0.198557,0.0940731,0.138319,0.0915613,-19245.1
-18996.4,0.944919,0.493503,3,7,0,19006.9,-0.00584022,0.982092,0.113916,-0.0589366,0.278743,0.0953427,0.310519,0.16259,0.02417,0.0858297,0.251077,0.147009,-0.0333966,0.106984,0.0716797,-0.0222012,0.149934,0.128956,0.136568,0.167915,0.174016,0.112543,0.118493,0.0745862,-19220.1
-18996.5,0.920213,0.493503,3,7,0,19005.5,-0.0041905,0.973423,0.12776,-0.0406677,0.25965,0.0795956,0.330636,0.134865,-0.0238518,0.106607,0.217071,0.149843,-0.0201586,0.0730883,0.0742335,0.00449407,0.17867,0.124573,0.140738,0.175278,0.0954585,0.0790029,0.203919,0.0616144,-19232.1
-19003.7,0.605356,0.493503,3,7,0,19014.1,-0.00577333,0.978034,0.0917289,-0.0231763,0.22455,0.0791347,0.309584,0.166928,0.0354989,0.101101,0.23863,0.131567,-0.0509844,0.109402,0.0833492,-0.00214616,0.148197,0.117499,0.103141,0.192656,0.171518,0.132008,0.0866746,0.160891,-19203.9
-19000.1,1,0.493503,3,7,0,19014,-0.00333647,0.972297,0.104506,-0.0469823,0.2424,0.0997557,0.318147,0.167876,0.0277579,0.103316,0.224924,0.117191,-0.0700705,0.112251,0.098334,-0.00244915,0.1491,0.118149,0.125555,0.188896,0.136822,0.0750328,0.112583,0.0829579,-19228.4
-18999.6,0.870084,0.493503,3,7,0,19013.9,-0.0139266,0.980065,0.127643,-0.02885,0.274807,0.0996893,0.316072,0.136941,-0.0253493,0.0859927,0.238473,0.153804,0.00192931,0.0546616,0.0529728,0.0114009,0.160058,0.119206,0.140378,0.162121,0.10879,0.104455,0.154701,0.0713961,-19210.4
-18997.3,0.992036,0.493503,3,7,0,19009.8,-0.00130068,0.969837,0.121885,-0.0397377,0.258761,0.106369,0.337595,0.14428,0.00484232,0.087466,0.260428,0.11333,-0.0469395,0.0993952,0.08386,-0.00761379,0.158799,0.103454,0.103796,0.165065,0.100877,0.0720932,0.15886,0.0642491,-19232.1
-18997,0.916078,0.493503,3,7,0,19008.9,-0.00570131,0.979508,0.101559,-0.0494946,0.260924,0.11112,0.307951,0.148561,0.0205267,0.106622,0.227034,0.168102,-0.0180979,0.0890429,0.0566235,0.0103619,0.161322,0.127039,0.16852,0.203584,0.149103,0.118038,0.0902974,0.0788029,-19229.7
