# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-05-11 20:25:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/sdkhxz1i.json
# init = 2 (Default)
# random
#   seed = 38944
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/base/base-20250511152536_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.603887
# Diagonal elements of inverse mass matrix:
# 1.80564e-05, 1.45828e-05
-51598.2,0.9956,0.603887,2,3,0,51598.2,0.00145256,1.00355,-48414.8
-51598.2,0.355982,0.603887,1,3,0,51602.4,0.00145256,1.00355,-48414.8
-51598.1,0.982251,0.603887,2,3,0,51598.6,0.000313228,1.00036,-48413
-51598.4,0.984596,0.603887,3,7,0,51598.5,-0.00301613,1.00067,-48413.4
-51597.9,0.982834,0.603887,2,3,0,51598.8,0.000495347,1.00313,-48414.5
-51598.1,0.945746,0.603887,2,3,0,51598.4,-0.0019932,1.00295,-48414.5
-51598.8,0.820817,0.603887,2,3,0,51599.6,0.00378775,1.00059,-48413.3
-51598.2,0.743377,0.603887,3,7,0,51601.7,-0.00209476,1.00057,-48413.2
-51598.7,0.676068,0.603887,2,3,0,51602.1,-0.00387532,1.00338,-48415
-51598.6,0.87619,0.603887,2,3,0,51600.1,-0.00232145,1.00428,-48415.4
-51599.9,0.686776,0.603887,1,1,0,51600,-0.00179508,1.00641,-48417
-51600.2,0.990437,0.603887,2,3,0,51600.8,-0.0035302,0.997809,-48412.4
-51600.7,0.962295,0.603887,2,3,0,51601,0.00384369,1.00656,-48417.2
-51599.3,1,0.603887,1,1,0,51600.5,0.00324603,1.00492,-48415.8
-51599.3,0.942567,0.603887,1,1,0,51599.9,0.00324603,1.00492,-48415.8
-51598.3,1,0.603887,1,1,0,51599.1,0.00178931,1.00378,-48414.9
-51598.3,1,0.603887,2,3,0,51598.5,0.00267582,1.0029,-48414.4
-51598.3,0.964235,0.603887,1,1,0,51598.5,0.00267582,1.0029,-48414.4
-51598.2,0.98639,0.603887,2,3,0,51598.5,-0.00132756,1.00031,-48413.1
-51598,0.98835,0.603887,2,3,0,51598.3,-1.1212e-05,1.00346,-48414.7
-51598.8,0.812154,0.603887,2,3,0,51600.1,-0.00406342,1.00057,-48413.5
-51599.4,0.803547,0.603887,2,3,0,51600.9,0.00529246,1.00273,-48414.7
-51599.4,0.68184,0.603887,1,1,0,51601,0.00529246,1.00273,-48414.7
-51599,0.925437,0.603887,2,3,0,51600.3,0.00271342,0.999312,-48412.7
-51598.8,1,0.603887,1,1,0,51599.1,0.00274006,0.999602,-48412.8
-51598.3,0.825451,0.603887,2,3,0,51600.3,2.71122e-05,0.999677,-48412.8
-51598.2,0.98532,0.603887,2,7,0,51598.8,-0.00258228,1.00111,-48413.5
-51598.2,0.940926,0.603887,2,3,0,51598.8,-0.00265771,1.00093,-48413.5
-51598.8,0.905931,0.603887,2,3,0,51599.2,-0.00169521,1.00499,-48415.8
-51600.6,0.788127,0.603887,2,3,0,51600.7,-0.00325125,0.997314,-48412.3
-51598.8,1,0.603887,1,1,0,51600.1,-0.00200877,0.999244,-48412.7
-51598.1,0.901293,0.603887,1,3,0,51599.8,0.00163982,1.00306,-48414.5
-51599.5,0.859104,0.603887,2,3,0,51599.7,0.00515726,1.00366,-48415.2
-51597.9,0.897959,0.603887,2,3,0,51600.6,-0.000582965,1.00123,-48413.5
-51597.9,0.892267,0.603887,1,3,0,51598.3,-0.000582965,1.00123,-48413.5
-51597.9,0.974662,0.603887,2,3,0,51598.1,-0.0015014,1.0014,-48413.6
-51599,0.721083,0.603887,2,3,0,51600.5,0.0043618,1.00313,-48414.8
-51597.8,0.968635,0.603887,1,3,0,51599.3,0.000278349,1.00234,-48414
-51599.3,0.806779,0.603887,2,3,0,51599.6,0.00433678,1.00411,-48415.4
-51600.7,0.780754,0.603887,2,7,0,51601.7,0.000360594,0.996738,-48411.9
-51598.3,1,0.603887,1,3,0,51600.4,-0.00196502,1.00016,-48413.1
-51598.5,0.781749,0.603887,2,3,0,51600.9,-0.00298318,1.00364,-48415
-51598.5,0.99373,0.603887,2,3,0,51598.8,0.00204767,0.99998,-48412.9
-51599,0.973732,0.603887,3,7,0,51599.1,-0.00388763,1.00408,-48415.4
-51598.7,1,0.603887,3,7,0,51599.1,-0.00388975,1.00071,-48413.5
-51600.5,0.621028,0.603887,3,7,0,51602.7,-0.00374084,0.997534,-48412.4
-51599.6,0.898468,0.603887,2,7,0,51602.3,0.00585471,1.00198,-48414.3
-51599.6,0.705585,0.603887,2,3,0,51602.2,0.000653185,0.99781,-48412.2
-51600.4,0.984214,0.603887,2,7,0,51601.1,-0.00595385,1.005,-48416.5
-51600,0.819982,0.603887,2,3,0,51603.2,0.000674272,1.00665,-48417.1
-51599.3,1,0.603887,2,3,0,51600.4,-0.00183755,1.00565,-48416.3
-51598.1,0.985808,0.603887,2,3,0,51599.2,0.00160669,1.00061,-48413.2
-51598.2,0.889224,0.603887,1,3,0,51599.3,-0.00273269,1.00252,-48414.3
-51597.9,0.987794,0.603887,2,3,0,51598.3,-0.00112547,1.00256,-48414.2
-51598.2,0.922432,0.603887,2,3,0,51598.3,0.000295398,1.00391,-48415
-51600.4,0.635067,0.603887,2,3,0,51602.6,-0.00482949,0.998212,-48412.7
-51598.2,0.841621,0.603887,2,3,0,51601.6,0.00201459,1.00055,-48413.2
-51598,1,0.603887,3,7,0,51598.2,-0.0020671,1.00193,-48413.9
-51598,0.999869,0.603887,2,3,0,51598,-0.00195252,1.00238,-48414.1
-51598.9,0.761069,0.603887,2,3,0,51600.3,0.00372146,1.00375,-48415.1
-51598.7,0.852666,0.603887,2,3,0,51599.8,0.00222647,0.999638,-48412.8
-51598,0.96043,0.603887,2,3,0,51599,-0.00210155,1.00161,-48413.7
-51598.3,0.966395,0.603887,3,7,0,51598.3,0.00191571,1.0038,-48415
-51597.9,0.95005,0.603887,1,3,0,51598.8,-0.0013855,1.00185,-48413.8
-51599.1,0.719473,0.603887,2,3,0,51599.5,0.000188629,0.99839,-48412.3
-51597.8,1,0.603887,2,3,0,51599,9.93183e-05,1.00264,-48414.2
-51597.9,0.981747,0.603887,2,3,0,51598,-0.00120352,1.00252,-48414.2
-51598.2,0.842107,0.603887,2,3,0,51599.1,0.00268536,1.00196,-48413.9
-51597.9,0.928438,0.603887,1,3,0,51599,-0.0014987,1.00237,-48414.1
-51597.9,0.533588,0.603887,2,3,0,51601.4,-0.0014987,1.00237,-48414.1
-51598.5,0.838849,0.603887,2,3,0,51598.7,-0.000819328,0.999424,-48412.7
-51598,0.925305,0.603887,2,3,0,51599.1,0.000889181,1.00098,-48413.3
-51598.3,0.882574,0.603887,3,7,0,51599.1,-0.00223313,1.00379,-48415
-51600,0.6257,0.603887,2,3,0,51601.5,0.00504362,1.00489,-48416
-51603.9,0.688104,0.603887,2,3,0,51604.7,0.0029612,1.00944,-48419.8
-51600.1,1,0.603887,2,3,0,51603,0.00304337,1.00615,-48416.8
-51599.2,0.884095,0.603887,3,7,0,51602.7,-0.00516444,1.00299,-48414.9
-51598.2,0.920868,0.603887,2,3,0,51600.4,0.000230931,1.00406,-48415.1
-51599.3,0.908987,0.603887,2,7,0,51599.4,-0.00297662,0.998663,-48412.6
