lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,log_p
# Adaptation terminated
# Step size = 0.565731
# Diagonal elements of inverse mass matrix:
# 3.90403e-05, 3.10474e-05, 3.31481e-05, 3.4901e-05, 3.40641e-05, 3.3864e-05, 3.36504e-05, 3.05413e-05, 3.14776e-05, 3.41751e-05, 3.2635e-05, 3.22123e-05, 3.6842e-05, 2.14721e-05
-18933,0.946108,0.565731,3,7,0,18941.2,-0.0143566,0.159141,0.123098,0.0669595,0.109681,0.0296892,-0.0459635,-0.0559457,0.0726623,-0.0188137,-0.0131458,-0.0229786,-0.0972695,0.972201,0.151936,0.122052,0.0160927,0.120964,0.179725,-0.0447083,-0.140071,0.0722625,-0.0177562,0.00333728,-0.0156695,-0.124117,-18493.5
-18936.5,0.772216,0.565731,3,7,0,18940.7,-0.00975562,0.158002,0.119877,0.0672886,0.104486,0.0266536,-0.04678,-0.0547815,0.0766163,-0.0228206,-0.0189755,-0.021951,-0.0993087,0.973507,0.151037,0.120116,0.0163679,0.116276,0.17098,-0.0455324,-0.140424,0.0769577,-0.0217458,-0.00248683,-0.0143468,-0.126719,-18494.9
-18931.2,1,0.565731,3,7,0,18938.1,-0.0170574,0.161468,0.128742,0.0607635,0.105046,0.0311135,-0.042455,-0.0460612,0.0790777,-0.0184105,-0.014617,-0.0189107,-0.0992435,0.970827,0.153197,0.126854,0.00450778,0.115398,0.169495,-0.0385578,-0.128409,0.0793319,-0.0174395,0.00174966,-0.0110269,-0.126636,-18494
-18931.4,0.868834,0.565731,3,7,0,18935.4,-0.0139531,0.165353,0.129844,0.0735167,0.104263,0.0307436,-0.0358864,-0.0507407,0.0697607,-0.0160285,-0.00221442,-0.0209439,-0.0996212,0.972113,0.158226,0.12709,0.0231153,0.112409,0.171237,-0.0312481,-0.134224,0.067934,-0.0151745,0.0148492,-0.0132145,-0.127118,-18492.1
-18932.1,0.771333,0.565731,3,7,0,18938.4,-0.0152364,0.160596,0.129484,0.0603418,0.10468,0.0306655,-0.0455852,-0.0466872,0.0785315,-0.0217391,-0.0147062,-0.018024,-0.103265,0.971092,0.151527,0.128768,0.00442583,0.115774,0.171903,-0.0421362,-0.132307,0.0783679,-0.0208291,0.00219407,-0.00966529,-0.131768,-18493.7
-18937.6,0.731958,0.565731,3,7,0,18940.9,-0.0161033,0.158629,0.139589,0.065093,0.101311,0.0228493,-0.0386796,-0.0440538,0.0825472,-0.00851494,-0.0102371,-0.019091,-0.108233,0.975559,0.14811,0.138755,0.010859,0.112808,0.146719,-0.0314442,-0.13168,0.0818335,-0.00742592,0.00768474,-0.0103489,-0.138107,-18492.6
-18933.4,1,0.565731,3,7,0,18942,-0.0177306,0.155916,0.129759,0.0617447,0.103957,0.0270894,-0.0395588,-0.0448398,0.069579,-0.0230341,-0.0032816,-0.0169474,-0.105824,0.973416,0.146685,0.129128,0.0115768,0.113374,0.159339,-0.0350799,-0.131576,0.0672868,-0.0223686,0.014335,-0.00823834,-0.135032,-18492.8
-18932,0.994059,0.565731,3,7,0,18936.6,-0.0145831,0.164789,0.126394,0.0720851,0.107443,0.0327789,-0.0390891,-0.0424193,0.0712706,-0.0118744,-0.00881262,-0.0190723,-0.0949586,0.974122,0.157244,0.121709,0.0185375,0.116847,0.16732,-0.0351551,-0.120681,0.0705454,-0.0109175,0.00712563,-0.0116208,-0.121169,-18495.8
-18932.8,0.759962,0.565731,3,7,0,18938,-0.0147168,0.15924,0.131233,0.0615365,0.102343,0.0288772,-0.039154,-0.0558706,0.0766534,-0.0222908,-0.00967886,-0.0236744,-0.107937,0.971433,0.150928,0.132155,0.00928774,0.111355,0.1749,-0.0354767,-0.147504,0.0754068,-0.0212826,0.00862906,-0.0153921,-0.137729,-18489.6
-18933.1,0.97967,0.565731,3,7,0,18936.6,-0.014597,0.16861,0.12837,0.0707539,0.107556,0.0309522,-0.0404423,-0.0391979,0.0730415,-0.0113907,-0.0101617,-0.01668,-0.09575,0.973927,0.161115,0.12375,0.0165477,0.117901,0.1601,-0.0358081,-0.11698,0.0725439,-0.0104739,0.00563364,-0.00892659,-0.122178,-18497.8
-18934,0.961874,0.565731,3,7,0,18935.9,-0.01563,0.155918,0.129532,0.0620552,0.101219,0.0269513,-0.0400089,-0.0561092,0.0742387,-0.0243442,-0.00921933,-0.0248205,-0.106657,0.970948,0.147508,0.130939,0.0121351,0.110423,0.171425,-0.0376422,-0.147234,0.0728321,-0.0233454,0.00901212,-0.0167706,-0.136096,-18489.4
-18934.3,0.815037,0.565731,3,7,0,18942.1,-0.0134627,0.168821,0.127998,0.0733893,0.105878,0.0367062,-0.0395194,-0.0398892,0.0748147,-0.00985646,-0.00823187,-0.0155607,-0.100958,0.974186,0.160608,0.122997,0.0154572,0.115252,0.174527,-0.0331806,-0.121212,0.0738316,-0.00896345,0.00833232,-0.00719498,-0.128824,-18497
-18931.7,0.798066,0.565731,3,7,0,18941.6,-0.0142044,0.160312,0.128085,0.0647379,0.102803,0.0244632,-0.0425951,-0.0534695,0.0702452,-0.0225358,-0.0114324,-0.0238533,-0.101984,0.970577,0.152795,0.128986,0.0177339,0.113316,0.163329,-0.0415241,-0.14093,0.0690054,-0.0215193,0.00591461,-0.0161674,-0.130133,-18490.9
-18931.3,0.992523,0.565731,3,7,0,18933.9,-0.0117908,0.163874,0.129005,0.0632881,0.108761,0.0300819,-0.0385754,-0.0441956,0.0792488,-0.0166893,-0.00797108,-0.0182774,-0.101187,0.977069,0.156212,0.125841,0.00674819,0.118327,0.163736,-0.0328859,-0.126706,0.0788017,-0.0158207,0.00888139,-0.0101449,-0.129116,-18496.1
-18931.7,0.904611,0.565731,3,7,0,18935.5,-0.0131559,0.16117,0.129167,0.0698153,0.0998779,0.0295788,-0.0417338,-0.0525735,0.0689696,-0.0153843,-0.00805061,-0.0236402,-0.0992886,0.967135,0.153154,0.128455,0.0209009,0.109805,0.173902,-0.0397455,-0.137285,0.0675125,-0.0143348,0.00898884,-0.0161967,-0.126694,-18489.7
-18932.7,0.576401,0.565731,2,3,0,18942.3,-0.0128605,0.164311,0.133002,0.0710219,0.0969031,0.0295235,-0.0407277,-0.0426203,0.0749123,-0.0197041,-0.00506957,-0.0204197,-0.0940723,0.970633,0.155864,0.130027,0.0176311,0.106258,0.162709,-0.0378568,-0.119838,0.0744977,-0.0188957,0.0109915,-0.0131812,-0.120038,-18493.8
-18931.9,0.804223,0.565731,3,7,0,18939.4,-0.0126161,0.161618,0.128074,0.0678523,0.10948,0.0341185,-0.0390515,-0.0526507,0.0748037,-0.0151137,-0.0139549,-0.0225965,-0.108612,0.974354,0.153085,0.126636,0.0133837,0.118545,0.182267,-0.034846,-0.144406,0.0735196,-0.0139501,0.00420245,-0.0141472,-0.138591,-18491.1
-18932.3,0.743034,0.565731,3,7,0,18939.7,-0.0162407,0.161544,0.129434,0.0679911,0.10163,0.0264086,-0.0394842,-0.0441125,0.0721981,-0.0174622,0.000131234,-0.0157971,-0.0963904,0.971049,0.153861,0.126758,0.0169371,0.111594,0.156387,-0.0339779,-0.12249,0.070834,-0.0168455,0.0163247,-0.00789825,-0.122996,-18494.7
-18936.1,0.706677,0.565731,3,7,0,18940.8,-0.0121518,0.161949,0.126747,0.0633351,0.103901,0.0325762,-0.0376346,-0.0470128,0.0804316,-0.0299193,-0.0153336,-0.0256742,-0.103255,0.967504,0.1542,0.125127,0.00657647,0.111178,0.172263,-0.0362848,-0.133781,0.080605,-0.028886,0.00222786,-0.0180358,-0.131755,-18493.6
-18934.5,0.943317,0.565731,3,7,0,18942,-0.0124719,0.1637,0.131859,0.0697209,0.107524,0.0276448,-0.0417426,-0.0486948,0.067037,-0.00686213,-0.000498004,-0.015928,-0.10056,0.973512,0.155513,0.12961,0.0208233,0.119021,0.165404,-0.035605,-0.131623,0.0645808,-0.00604947,0.016323,-0.00763555,-0.128316,-18494.4
