# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-05-11 17:19:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/fdoff29y.json
# init = 2 (Default)
# random
#   seed = 96947
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/asym_SciBERT/reg-20250511121940_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.554105
# Diagonal elements of inverse mass matrix:
# 2.30837e-05, 2.30022e-05, 1.67774e-05
-35319.9,0.888159,0.554105,1,3,0,35321.1,-0.0107202,-0.0367282,0.997968,-33607.7
-35322.1,0.795392,0.554105,3,7,0,35323.1,-0.0106866,-0.0301072,1.00367,-33606.3
-35323.6,0.917123,0.554105,2,3,0,35324,-0.0105797,-0.0309908,1.00637,-33606.6
-35320.5,1,0.554105,2,3,0,35323.5,-0.00765969,-0.0362279,0.997176,-33608.3
-35322,0.74449,0.554105,2,3,0,35324.4,-0.0074384,-0.0442618,1.00127,-33609.5
-35320,0.980121,0.554105,2,3,0,35322.5,-0.00851056,-0.0349284,0.998978,-33607.5
-35320.9,0.895956,0.554105,2,3,0,35321.1,-0.00740315,-0.0358516,0.996477,-33608.5
-35320.5,0.992453,0.554105,2,7,0,35321.7,-0.0110039,-0.0342197,0.997091,-33607.6
-35320.3,0.902203,0.554105,3,7,0,35322.9,-0.0119925,-0.0388278,1.00251,-33607.3
-35320,0.985667,0.554105,3,7,0,35320.9,-0.00865614,-0.0360032,0.998196,-33607.8
-35320.1,0.996635,0.554105,3,7,0,35320.2,-0.008016,-0.0381152,0.998294,-33608.3
-35320,0.99569,0.554105,3,7,0,35320.5,-0.0115534,-0.0398051,0.999743,-33607.9
-35321.6,0.854349,0.554105,3,7,0,35322.2,-0.0161832,-0.0340573,0.9973,-33607.4
-35320.9,0.96451,0.554105,2,7,0,35323.1,-0.00987735,-0.0341148,1.00377,-33606.7
-35320.2,0.993481,0.554105,2,3,0,35321.3,-0.00795246,-0.0336957,1.00064,-33607.1
-35320.4,0.974797,0.554105,3,7,0,35321,-0.00811748,-0.0326915,1.00037,-33607.1
-35320.8,0.939019,0.554105,2,3,0,35321.4,-0.00745488,-0.0338388,0.997211,-33608
-35320.2,0.966916,0.554105,2,3,0,35321.4,-0.00738176,-0.0360248,0.998088,-33608
-35320.3,0.979744,0.554105,2,7,0,35321,-0.0147386,-0.0364873,0.999496,-33607.1
-35320,1,0.554105,2,3,0,35320.3,-0.0137431,-0.0365628,1.00004,-33607.1
-35320.1,0.864625,0.554105,2,3,0,35321.6,-0.0129128,-0.0347712,1.00153,-33606.6
-35321.9,0.857091,0.554105,2,3,0,35322.5,-0.0114076,-0.0447445,1.00056,-33609.3
-35319.7,0.963477,0.554105,2,3,0,35322.5,-0.00933831,-0.0361167,1.00076,-33607.2
-35323.4,0.693497,0.554105,2,3,0,35323.5,-0.014293,-0.0327472,0.993953,-33608.5
-35320.5,0.997702,0.554105,3,7,0,35323.6,-0.0129737,-0.0398185,0.997773,-33608.3
-35321.6,0.904339,0.554105,2,3,0,35322.1,-0.0134492,-0.0384436,1.00483,-33607.2
-35322.3,0.844364,0.554105,3,7,0,35326.2,-0.0184751,-0.0342357,0.998487,-33607.2
-35321.8,0.924949,0.554105,3,7,0,35325,-0.00265184,-0.0372675,1.00039,-33608.9
-35320.9,0.708404,0.554105,2,3,0,35327.2,-0.0113375,-0.0428753,0.999984,-33608.8
-35320,0.998351,0.554105,2,3,0,35321,-0.0103472,-0.0399319,1.0004,-33607.9
-35320,0.983916,0.554105,2,3,0,35320.2,-0.00942161,-0.038745,1.00169,-33607.6
-35321.1,0.894712,0.554105,2,3,0,35321.5,-0.0158993,-0.0385755,1.00219,-33607.2
-35320,0.998443,0.554105,2,3,0,35321.3,-0.00949129,-0.0345515,0.998697,-33607.4
