# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-05-11 17:16:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/dt0ehzfj.json
# init = 2 (Default)
# random
#   seed = 16409
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/base/base-20250511121600_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.533216
# Diagonal elements of inverse mass matrix:
# 1.92973e-05, 1.51304e-05
-51394.2,0.995657,0.533216,1,3,0,51394.7,0.0012077,1.00059,-48617
-51394.9,0.86021,0.533216,3,7,0,51396,-0.00198539,0.999083,-48616.6
-51394.4,0.836668,0.533216,1,3,0,51397,0.0038483,1.00015,-48617.7
-51394.4,0.990137,0.533216,2,3,0,51394.6,0.00232026,0.998653,-48617.3
-51395.3,0.917964,0.533216,2,3,0,51395.3,0.00313011,1.00314,-48617.8
-51395.3,0.721632,0.533216,2,3,0,51398.9,-0.00235615,0.998245,-48616.6
-51396,0.848939,0.533216,2,3,0,51396.7,0.00242664,1.00421,-48617.9
-51396.4,0.948069,0.533216,2,7,0,51398.1,-0.00501235,1.00013,-48616.4
-51394.2,0.996305,0.533216,3,7,0,51396.3,0.00146442,0.999632,-48617.1
-51394.7,0.7704,0.533216,2,3,0,51396.3,-0.00169642,0.999648,-48616.6
-51395.6,0.791994,0.533216,2,3,0,51396.3,-0.00142054,1.00316,-48616.9
-51395.3,1,0.533216,1,1,0,51395.7,-0.000777821,1.00292,-48617
-51396.3,0.952731,0.533216,2,3,0,51397,-0.00451548,0.998448,-48616.5
-51395.9,1,0.533216,2,3,0,51396.4,-0.00388992,0.998751,-48616.5
-51395.5,0.825863,0.533216,2,7,0,51398.4,0.00545765,1.00245,-48618.4
-51395.3,0.965759,0.533216,2,7,0,51396.4,-0.00280804,0.999053,-48616.5
-51394.5,1,0.533216,2,3,0,51395.3,0.00410798,1.00067,-48617.8
-51395.7,0.873046,0.533216,2,3,0,51396,0.00464037,0.996789,-48618.3
-51394.4,1,0.533216,2,7,0,51395.5,0.000553854,1.00122,-48617
-51395.8,0.571863,0.533216,2,3,0,51399.5,-0.00310098,0.99779,-48616.6
-51395.5,0.922701,0.533216,2,3,0,51397.1,-0.0033442,0.998932,-48616.5
-51395.2,1,0.533216,1,1,0,51395.6,-0.00265816,0.998792,-48616.5
-51400.3,0.653094,0.533216,2,3,0,51401.4,-0.0091392,0.998517,-48616.8
-51396.6,0.972617,0.533216,3,7,0,51400.8,0.00836597,1.00082,-48619.4
-51397.4,0.778414,0.533216,2,3,0,51399.8,0.00691958,1.00418,-48619.4
-51396,0.984986,0.533216,3,7,0,51397.8,-0.00383459,0.998329,-48616.5
-51394.7,0.979504,0.533216,2,3,0,51396.9,0.0026609,1.00221,-48617.5
-51396.3,0.903619,0.533216,2,3,0,51396.7,0.00798917,0.999619,-48619.2
-51396.5,0.989065,0.533216,2,3,0,51396.8,0.0083635,1.00036,-48619.4
-51395.6,0.732279,0.533216,2,3,0,51400,0.00212621,0.996266,-48617.7
-51395.2,1,0.533216,1,1,0,51395.7,0.00267716,0.996947,-48617.7
-51394.2,0.989933,0.533216,1,3,0,51395.1,0.0021696,0.999497,-48617.3
-51394.4,0.938447,0.533216,1,3,0,51394.6,0.00181348,1.00147,-48617.2
-51394.8,0.966284,0.533216,2,3,0,51394.9,-0.00143119,0.998751,-48616.7
-51394.3,0.962765,0.533216,2,3,0,51395.2,0.00290378,1.00078,-48617.5
-51394.4,0.993278,0.533216,2,3,0,51394.5,0.0035757,0.99974,-48617.6
-51394.3,0.803737,0.533216,2,3,0,51396,0.001105,1.00121,-48617.1
-51394.8,0.907341,0.533216,2,3,0,51395.1,0.00345149,1.00209,-48617.7
-51394.5,0.958786,0.533216,3,7,0,51395.5,0.00294178,0.998351,-48617.5
-51394.7,0.929324,0.533216,2,3,0,51395.3,0.0022378,1.0022,-48617.4
-51395.4,0.962974,0.533216,3,7,0,51395.8,0.00646045,0.999739,-48618.6
-51395.1,1,0.533216,1,1,0,51395.4,0.0058783,1.00001,-48618.4
-51395.5,0.93663,0.533216,1,1,0,51395.6,0.00660045,0.999168,-48618.7
-51398.8,0.501015,0.533216,2,3,0,51400.1,0.000661721,1.00672,-48618.5
-51396.7,1,0.533216,1,1,0,51398.5,0.000835016,1.00501,-48617.8
-51394.5,1,0.533216,2,3,0,51396.6,0.00263791,1.0018,-48617.5
-51394.6,0.870138,0.533216,2,7,0,51395.6,0.0027266,0.998088,-48617.5
-51394.9,0.964185,0.533216,2,3,0,51395,0.000821947,1.00265,-48617.2
-51394.7,0.994942,0.533216,2,7,0,51395.5,0.00360406,1.00193,-48617.8
-51394.7,0.951264,0.533216,2,3,0,51395.4,0.00441521,1.00134,-48617.9
-51394.9,0.886654,0.533216,2,3,0,51395.9,0.000942219,1.00276,-48617.2
-51394.3,0.882692,0.533216,2,7,0,51395.9,0.00284018,0.998924,-48617.5
-51394.5,0.889783,0.533216,2,3,0,51395.5,-0.000455249,1.00111,-48616.8
-51394.7,0.87467,0.533216,1,3,0,51395.5,0.000791777,0.997822,-48617.1
-51394.7,0.81599,0.533216,1,3,0,51396.5,0.000791777,0.997822,-48617.1
-51394.6,1,0.533216,2,3,0,51394.9,0.00375583,1.00139,-48617.7
-51394.2,0.690966,0.533216,2,3,0,51397.5,0.00166519,0.999932,-48617.1
-51395.9,0.698337,0.533216,2,3,0,51397.3,-0.00340393,0.997809,-48616.6
-51395.4,1,0.533216,2,3,0,51396.1,-0.00325381,0.999708,-48616.5
-51395.8,0.905067,0.533216,2,3,0,51396.8,-0.00334391,1.00205,-48616.6
-51396.9,0.791904,0.533216,2,3,0,51398,0.0043214,0.995246,-48618.6
-51397.8,0.846,0.533216,2,7,0,51401.4,0.00705384,1.00455,-48619.5
-51396.6,0.997184,0.533216,2,3,0,51399.2,0.0081876,0.9987,-48619.4
-51394.3,1,0.533216,2,3,0,51396.3,0.00310663,0.999846,-48617.5
-51395.2,0.892769,0.533216,2,3,0,51395.4,0.00484655,0.99773,-48618.2
-51394.9,0.995344,0.533216,3,7,0,51395.4,-0.00176913,1.00137,-48616.6
-51395,0.982965,0.533216,1,1,0,51395.1,-0.00164231,1.00171,-48616.7
-51394.2,0.904779,0.533216,1,3,0,51396.1,0.00268853,0.999701,-48617.4
-51394.4,0.92396,0.533216,3,7,0,51394.9,0.000400567,0.998641,-48616.9
-51394.4,0.904168,0.533216,2,3,0,51395.3,0.00332273,1.0007,-48617.6
-51394.5,0.972369,0.533216,2,3,0,51394.6,0.000370366,0.998482,-48616.9
-51394.6,0.986321,0.533216,2,3,0,51394.9,-0.00126669,0.999956,-48616.6
-51394.8,0.987865,0.533216,2,3,0,51394.8,-0.002048,0.999943,-48616.5
-51394.5,1,0.533216,2,3,0,51394.8,-0.0010747,1.00018,-48616.6
-51394.3,0.944399,0.533216,1,3,0,51395.1,0.00186855,0.998838,-48617.2
-51394.5,0.977907,0.533216,2,3,0,51394.7,0.00402747,0.999436,-48617.8
-51394.5,0.968949,0.533216,2,3,0,51394.8,0.000441007,1.00176,-48617
-51394.8,0.992863,0.533216,2,3,0,51394.9,-0.00122531,1.00139,-48616.7
-51395.6,0.783832,0.533216,2,3,0,51396.5,-0.0026181,0.997656,-48616.7
-51394.6,0.959715,0.533216,3,7,0,51396.1,-0.000779135,0.998859,-48616.7
-51394.6,1,0.533216,2,3,0,51394.7,-0.0011628,0.999184,-48616.7
-51394.2,1,0.533216,3,7,0,51394.6,0.00107412,1.00081,-48617
-51395.7,0.874038,0.533216,2,3,0,51395.7,-0.00324197,0.998266,-48616.6
-51395.7,0.823613,0.533216,1,1,0,51396.6,-0.00324197,0.998266,-48616.6
-51394.2,1,0.533216,2,3,0,51395.6,0.00222161,0.999722,-48617.3
-51395.6,0.728072,0.533216,2,3,0,51397.3,0.00695329,1.00002,-48618.8
-51394.8,0.975929,0.533216,2,3,0,51396.1,0.00423173,0.998257,-48617.9
-51394.6,0.997057,0.533216,2,3,0,51395,0.00243857,1.0021,-48617.5
-51394.4,0.929274,0.533216,1,3,0,51395.3,0.00257999,0.998751,-48617.4
-51394.5,0.923097,0.533216,2,3,0,51395.1,0.00103714,1.00184,-48617.1
-51394.6,0.98795,0.533216,2,7,0,51394.9,0.00287696,1.00199,-48617.6
-51394.4,0.983561,0.533216,2,3,0,51394.9,0.00358395,1.00054,-48617.6
-51394.5,0.923248,0.533216,2,7,0,51395.1,-0.000830542,1.00005,-48616.7
-51394.2,1,0.533216,2,3,0,51394.5,0.00117374,0.999487,-48617
-51395.8,0.709591,0.533216,1,3,0,51396.1,0.00152386,0.996021,-48617.6
-51394.3,1,0.533216,2,3,0,51395.5,0.00205144,1.0013,-48617.3
-51394.7,0.928915,0.533216,2,3,0,51395.1,-4.09779e-05,1.00198,-48616.9
-51394.9,0.984309,0.533216,2,3,0,51395.2,-0.000934094,0.997906,-48616.8
-51395.8,0.863343,0.533216,2,3,0,51396.6,0.00550969,1.00285,-48618.5
-51395.2,0.986242,0.533216,2,3,0,51396.4,0.00597828,0.999491,-48618.4
-51394.7,0.965897,0.533216,2,7,0,51395.7,0.00158631,0.99779,-48617.3
-51394.5,0.961181,0.533216,2,3,0,51395.2,0.00329548,0.998725,-48617.6
