lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.429688
# Diagonal elements of inverse mass matrix:
# 3.00997e-05, 2.08879e-05, 0.000274754, 0.000160144, 0.000275648, 0.000187016, 0.000481771, 0.000403417, 0.000189896, 0.00021913, 0.000229145, 0.000181144, 0.000216045, 0.000197305, 0.0003694, 0.000209336, 0.000358289, 0.000346307, 0.000330178, 0.000259951, 0.00226609, 0.000859213, 0.0816203, 0.0675094
-19041.2,0.935912,0.429688,3,7,0,19051.2,-0.0140767,0.981074,0.247189,-0.0469033,0.268594,0.113768,0.325146,0.165201,0.0696387,0.0610412,0.239657,0.141651,-0.00590672,0.0623088,0.0878386,0.0133161,0.158688,0.101465,0.152496,0.171004,0.209392,0.103238,0.175888,0.0610069,-19120.3
-19042.1,0.953271,0.429688,3,15,0,19055.7,-0.0160298,0.977059,0.211714,-0.0152705,0.271396,0.0986056,0.287188,0.161506,0.0786142,0.0507397,0.239921,0.148578,-0.0380857,0.102915,0.0787101,0.00145204,0.164043,0.0888303,0.11605,0.190092,0.205509,0.11013,0.103174,0.0693077,-19091.6
-19039.1,0.998599,0.429688,3,7,0,19054.3,-0.00976374,0.973731,0.237746,-0.0200346,0.220829,0.108467,0.295051,0.185823,0.0622755,0.0975735,0.237003,0.172632,-0.0543335,0.055052,0.0767672,-0.000857631,0.131241,0.10503,0.155887,0.135172,0.111026,0.0841178,0.124245,0.0774062,-19094
-19037.3,0.99373,0.429688,3,7,0,19049.6,-0.0059039,0.975974,0.221157,-0.00611865,0.245442,0.112975,0.281885,0.207418,0.0767572,0.0764796,0.243695,0.17635,-0.0111333,0.0771986,0.0716408,0.00972699,0.118641,0.0748749,0.136523,0.146744,0.176101,0.0907493,0.0742029,0.0717366,-19086.9
-19032.4,0.982564,0.429688,3,7,0,19043.2,-0.00788007,0.97966,0.228314,-0.0278008,0.269825,0.0949742,0.301174,0.204433,0.096245,0.0857854,0.251679,0.14999,-0.0251997,0.0489412,0.0802818,-0.00217682,0.123043,0.101356,0.156035,0.165103,0.139599,0.0867822,0.131051,0.0603794,-19096.9
-19034.4,0.96952,0.429688,3,7,0,19039.2,-0.0115874,0.97264,0.214897,-0.0437482,0.241512,0.0918006,0.293467,0.199648,0.120786,0.0900545,0.236624,0.155382,-0.0218262,0.072255,0.0877525,0.00924904,0.123983,0.106836,0.168854,0.154131,0.176017,0.0886409,0.111654,0.0804762,-19088.6
-19031.6,0.866808,0.429688,3,7,0,19044.4,-0.0111042,0.972644,0.209726,-0.0286341,0.251825,0.0983857,0.2956,0.205179,0.100706,0.0906113,0.226916,0.151218,-0.020948,0.0812418,0.092647,0.011336,0.124447,0.102806,0.16161,0.165463,0.154082,0.0735331,0.111818,0.0816173,-19090.5
-19036,0.696922,0.429688,3,7,0,19046.7,-0.00784847,0.974921,0.204955,-0.0254048,0.272145,0.101837,0.329954,0.172881,0.0515623,0.0634442,0.217173,0.154538,-0.0153732,0.0558027,0.0370211,-0.0119097,0.151761,0.112049,0.142002,0.192669,0.170588,0.113835,0.121044,0.0667013,-19098.3
-19035.6,0.751405,0.429688,3,15,0,19053.8,-0.00940533,0.975316,0.201519,-0.0128927,0.246754,0.10584,0.302628,0.215324,0.105791,0.0325122,0.244745,0.147527,-0.0451024,0.0725543,0.0789925,0.00626781,0.146382,0.110883,0.189655,0.154533,0.130448,0.07156,0.109984,0.0988044,-19092.7
-19038.4,0.753501,0.429688,3,7,0,19049.7,-0.00939245,0.979939,0.170269,-0.0319428,0.309089,0.10136,0.298642,0.197888,0.101133,0.0686217,0.220206,0.138302,-0.017965,0.0641113,0.0587571,0.00301387,0.152313,0.114791,0.149999,0.165167,0.121574,0.0924697,0.0992517,0.0662839,-19070.7
-19037.2,1,0.429688,3,7,0,19048.8,-0.0176644,0.972871,0.211562,-0.0368821,0.235523,0.110801,0.309814,0.1796,0.108621,0.0457165,0.211157,0.137009,-0.0165564,0.0771369,0.0716578,0.00431198,0.137324,0.123293,0.158813,0.185188,0.169531,0.0860251,0.0962086,0.0480917,-19088.7
-19039.8,0.744302,0.429688,3,7,0,19057.7,0.00200656,0.978689,0.200106,0.00329677,0.283129,0.0989495,0.296093,0.204875,0.0453223,0.106998,0.225164,0.182564,-0.0305516,0.0676195,0.0655791,0.00393943,0.14824,0.0964233,0.137533,0.156617,0.209215,0.11423,0.122074,0.11131,-19092.7
-19037.7,0.954071,0.429688,3,15,0,19051.1,-0.00935239,0.977526,0.204825,-0.031944,0.251213,0.112005,0.299516,0.191429,0.0759452,0.0877695,0.245611,0.173153,-0.0223942,0.0907536,0.0532347,0.0157629,0.16775,0.112669,0.175429,0.18659,0.135947,0.0543338,0.0871251,0.146982,-19118.9
-19039.3,0.709096,0.429688,3,7,0,19054.4,-0.0139992,0.979918,0.196315,-0.022817,0.213089,0.107719,0.293643,0.19527,0.104728,0.0737152,0.223338,0.154029,-0.0254179,0.0797337,0.0651495,-0.00115689,0.13968,0.124061,0.143765,0.182941,0.132365,0.0349408,0.159204,0.155725,-19073
-19035.4,0.792042,0.429688,3,7,0,19057.3,-0.0096717,0.976623,0.197201,-0.0158489,0.230305,0.109787,0.301779,0.199922,0.0831024,0.0718891,0.223108,0.160428,-0.0375605,0.0695709,0.0701707,0.00666872,0.128622,0.121907,0.161115,0.17503,0.153135,0.0518131,0.172152,0.177105,-19082.8
-19034,0.984851,0.429688,3,15,0,19042.2,-0.0069992,0.974013,0.238019,-0.0256903,0.278661,0.0990449,0.299117,0.175095,0.0625395,0.0780411,0.218222,0.155641,-0.0215949,0.0822787,0.0505165,0.00101555,0.150247,0.109833,0.130973,0.158955,0.155962,0.0981513,0.0717929,0.0695154,-19096.6
-19040.5,0.689045,0.429688,3,7,0,19052.1,-0.0118363,0.972157,0.194992,-0.0176071,0.254349,0.0889957,0.292729,0.18707,0.107795,0.0731636,0.267276,0.179037,-0.0528756,0.0646563,0.0588162,0.00556388,0.123109,0.11917,0.189383,0.174175,0.160001,0.101295,0.131741,0.0791478,-19104.9
-19045.9,0.830906,0.429688,3,7,0,19062,-0.0122094,0.980949,0.188337,-0.0211518,0.229464,0.083764,0.290466,0.234744,0.0929191,0.0583969,0.234038,0.173933,-0.0572261,0.066647,0.0833989,-0.0169387,0.119359,0.105124,0.198444,0.177746,0.151824,0.105259,0.159095,0.0769843,-19079.8
-19047.3,1,0.429688,3,7,0,19062.7,-0.00511877,0.969516,0.212461,-0.044213,0.307193,0.10604,0.322887,0.200165,0.100709,0.0371798,0.212911,0.14343,-0.00590764,0.0685209,0.0957958,0.0100238,0.14369,0.10393,0.21214,0.153919,0.269977,0.111318,0.210361,0.101841,-19119.1
-19036.7,1,0.429688,3,7,0,19054.7,-0.0158569,0.978047,0.219094,-0.0125114,0.236176,0.122453,0.308396,0.205232,0.0882901,0.0834061,0.250139,0.157355,-0.0176996,0.0672162,0.0495122,-0.00583494,0.130284,0.100551,0.14099,0.151198,0.270148,0.1143,0.143246,0.0655349,-19094.4
-19038.3,1,0.429688,3,7,0,19046.6,-0.0084601,0.976515,0.210789,-0.0230466,0.281972,0.122652,0.311235,0.218107,0.112596,0.0961564,0.205606,0.158576,-0.00864418,0.0650493,0.0616919,-0.0163968,0.13286,0.0932827,0.163294,0.186018,0.261179,0.077568,0.192796,0.0687235,-19110.8
-19042.6,0.727433,0.429688,3,7,0,19057.3,-0.0011735,0.972877,0.232054,0.00275568,0.265312,0.107578,0.305754,0.20939,0.0615291,0.101346,0.25373,0.155444,-0.00596931,0.112308,0.0954329,0.00668495,0.124565,0.113883,0.185888,0.181825,0.140495,0.111033,0.132788,0.0577218,-19138.4
-19037.7,0.971922,0.429688,3,7,0,19054.2,-0.0113425,0.973283,0.194228,-0.0329537,0.239708,0.0935848,0.320955,0.192753,0.0787257,0.0717823,0.217859,0.167468,-0.00605273,0.0335091,0.061285,0.0176813,0.147823,0.11957,0.146815,0.180969,0.173287,0.132591,0.0845704,0.0906732,-19091.7
-19037.1,1,0.429688,3,7,0,19043,-0.00527429,0.976718,0.232073,-0.0176284,0.278233,0.115076,0.297978,0.199813,0.0776186,0.077258,0.229887,0.145151,-0.0381508,0.115841,0.0756889,-0.0192623,0.144463,0.0884292,0.164731,0.157468,0.142075,0.0702117,0.154478,0.0638572,-19106.7
-19040.9,0.880796,0.429688,3,7,0,19054.4,-0.0141443,0.9705,0.216187,-0.0288692,0.27808,0.103059,0.332401,0.185821,0.11071,0.0991659,0.252186,0.15475,-0.0192146,0.0715518,0.0991979,0.00234496,0.119533,0.102772,0.133431,0.138734,0.198002,0.124659,0.0936247,0.0669065,-19114.7
-19043.9,0.961203,0.429688,3,7,0,19051.6,-0.0140134,0.972021,0.213388,-0.0233229,0.284594,0.101239,0.349831,0.189129,0.105018,0.0951645,0.268952,0.150773,-0.016832,0.0729781,0.0931603,0.00578103,0.115782,0.107622,0.135331,0.139005,0.191373,0.12423,0.100184,0.062493,-19124.5
-19039.3,0.998434,0.429688,3,7,0,19053.3,-0.00709872,0.969818,0.202191,-0.022645,0.257154,0.0895439,0.351765,0.172636,0.0781866,0.0802501,0.241714,0.1629,-0.0112885,0.0781213,0.0885704,0.00543001,0.131653,0.114057,0.146345,0.144255,0.197188,0.112528,0.130441,0.0651118,-19108.4
-19040.2,0.97303,0.429688,3,7,0,19053.1,-0.0049934,0.971363,0.212992,-0.02088,0.24455,0.0963681,0.349108,0.168589,0.103049,0.0828125,0.24021,0.172727,-0.0131098,0.0729089,0.0811624,-0.000318418,0.130225,0.117933,0.160796,0.137937,0.202491,0.110825,0.143243,0.0617151,-19112.5
-19040.1,0.861566,0.429688,3,7,0,19054.9,0.00644115,0.979822,0.212676,-0.0358281,0.286598,0.109832,0.319121,0.190814,0.0997353,0.0829042,0.21258,0.144529,-0.00395288,0.075835,0.05758,-0.0096581,0.135061,0.0935756,0.143258,0.175489,0.099475,0.0509151,0.13691,0.0948081,-19093.3
-19035.8,0.986183,0.429688,3,7,0,19049.1,-0.00498352,0.973361,0.221279,-0.0251153,0.267509,0.107542,0.326314,0.211518,0.0817386,0.0804387,0.215095,0.16156,-0.0360806,0.0829935,0.0577052,-0.000912421,0.10735,0.101116,0.160971,0.176908,0.169483,0.0770802,0.218772,0.0541397,-19110.6
-19038.2,0.880635,0.429688,3,7,0,19048.5,-0.00438257,0.972962,0.235845,-0.0370273,0.264608,0.10179,0.332402,0.190439,0.0996832,0.0851704,0.218939,0.140591,-0.0279209,0.0759836,0.0598148,0.00143134,0.115581,0.113345,0.119344,0.174652,0.199143,0.11723,0.159949,0.0551922,-19106.4
-19036.1,0.968705,0.429688,4,15,0,19048.1,-0.00529859,0.976119,0.229485,-0.0373909,0.280837,0.0984684,0.297767,0.204838,0.0838484,0.0897343,0.251614,0.132841,-0.0187788,0.0534301,0.0599292,-0.0087368,0.139661,0.135193,0.152306,0.142346,0.180403,0.0730115,0.117132,0.056147,-19094.1
-19039.9,0.876093,0.429688,3,7,0,19049.9,-0.00920892,0.977069,0.189134,0.00605029,0.220584,0.111528,0.301603,0.178576,0.0824349,0.0651323,0.237107,0.182151,-0.040137,0.113868,0.0435907,0.0164551,0.118159,0.0965586,0.167789,0.156907,0.157327,0.101526,0.0863378,0.091363,-19079.6
-19036.8,0.894401,0.429688,3,7,0,19053.4,-0.00609465,0.976116,0.19489,-0.00242623,0.231363,0.109539,0.307624,0.188332,0.0892315,0.0638336,0.23516,0.187045,-0.0271358,0.0947259,0.0545899,0.0227735,0.121108,0.0948263,0.15078,0.148863,0.174369,0.112833,0.0861054,0.086711,-19085.1
-19040.6,0.814837,0.429688,3,7,0,19053.5,-0.005637,0.969957,0.205326,-0.013494,0.238901,0.114511,0.286069,0.203889,0.10195,0.0449716,0.245042,0.150206,-0.0410979,0.0967668,0.0406059,0.0139298,0.109917,0.0775678,0.171588,0.145868,0.189045,0.0945874,0.0977806,0.081494,-19076.2
-19039.6,1,0.429688,3,7,0,19048.6,-0.00641198,0.973479,0.209279,-0.0200156,0.232435,0.105972,0.294177,0.194479,0.117977,0.0381921,0.262475,0.150803,-0.0330485,0.0930315,0.0372146,0.0155701,0.132274,0.0868038,0.183175,0.171299,0.144552,0.0827196,0.0856196,0.0868164,-19093.7
-19036.9,0.813739,0.429688,3,7,0,19056.2,-0.00505623,0.974055,0.223705,-0.01253,0.267113,0.0992468,0.306077,0.193565,0.0553785,0.0802503,0.210792,0.158466,-0.0468524,0.0756795,0.0626558,0.00999472,0.179515,0.0988425,0.156415,0.194019,0.125715,0.0993952,0.165499,0.0610371,-19116.4
-19036,0.912985,0.429688,3,7,0,19047.3,-0.0112471,0.978385,0.209807,-0.0237656,0.276452,0.121913,0.319063,0.185289,0.0827145,0.0552309,0.212765,0.146524,-0.0169784,0.0547385,0.0963979,0.00024975,0.132488,0.114567,0.159806,0.190532,0.17717,0.0837903,0.176641,0.0631945,-19104.4
-19037.1,0.943404,0.429688,3,7,0,19047.3,-0.00774222,0.972198,0.205643,-0.031336,0.251932,0.103782,0.318133,0.184183,0.0792488,0.0589605,0.184456,0.155515,-0.0167505,0.0811504,0.0476418,0.0245996,0.127126,0.107568,0.152326,0.174348,0.238069,0.111263,0.151933,0.0570122,-19080.9
-19038.3,1,0.429688,3,7,0,19046.9,-0.00540604,0.975027,0.229866,-0.0144019,0.264276,0.106192,0.297516,0.16817,0.0462666,0.0492878,0.242142,0.151932,-0.04466,0.0752356,0.0719423,-0.0185775,0.127921,0.10326,0.161927,0.183753,0.259568,0.0790185,0.190956,0.0878879,-19098.7
-19036.4,0.89271,0.429688,3,7,0,19050.8,-0.0136883,0.97513,0.214734,-0.0130924,0.274273,0.101623,0.328638,0.20524,0.0663613,0.100184,0.216151,0.167136,-0.0285469,0.0794512,0.0548226,0.00297915,0.137568,0.0953657,0.15349,0.132118,0.228826,0.0752754,0.159353,0.0715972,-19099
-19036.3,0.999943,0.429688,3,7,0,19044.3,-0.00328528,0.975544,0.203982,-0.0151595,0.234603,0.12131,0.298265,0.202414,0.0849745,0.0385854,0.229948,0.157577,-0.0259159,0.063062,0.0662023,-0.00682492,0.12323,0.117513,0.163441,0.191778,0.0993954,0.102149,0.0858903,0.066372,-19091.8
-19045.3,0.642109,0.429688,3,7,0,19053.1,-0.00612317,0.974163,0.207932,-0.00683499,0.280116,0.102817,0.311941,0.213104,0.0490652,0.0747277,0.188967,0.171029,-0.0495078,0.0762712,0.0824301,0.0332359,0.112631,0.0948656,0.153401,0.153328,0.275987,0.0942168,0.166564,0.120104,-19090.7
-19035.8,1,0.429688,3,7,0,19052.3,-0.00701561,0.975301,0.199435,-0.00714609,0.270609,0.0992162,0.298319,0.210792,0.0329306,0.0869328,0.209786,0.15873,-0.0479313,0.0648313,0.0821608,-0.0128915,0.133519,0.112418,0.174482,0.189507,0.208646,0.0977642,0.11386,0.0823297,-19092.8
-19036.8,0.875193,0.429688,3,7,0,19047.9,-0.014946,0.978931,0.222545,0.00792656,0.253088,0.109663,0.295142,0.192197,0.0585483,0.0710109,0.202684,0.154321,-0.0297352,0.0734728,0.0584927,-0.0196679,0.125157,0.117937,0.163996,0.201162,0.172706,0.113419,0.126476,0.0929725,-19090.3
-19037.7,0.926602,0.429688,3,7,0,19047.5,-0.00644113,0.971483,0.208037,-0.0160585,0.274525,0.0976574,0.292901,0.187053,0.074658,0.0852368,0.195611,0.167215,-0.0276795,0.0876486,0.0486348,0.000422294,0.143799,0.123037,0.165016,0.149022,0.139702,0.0573725,0.0653616,0.0699907,-19083.2
-19035,0.995229,0.429688,3,7,0,19048.4,-0.0005929,0.971866,0.200495,-0.0177117,0.271214,0.102738,0.299757,0.19463,0.0681929,0.0536164,0.1821,0.160314,-0.0371212,0.0550472,0.0691669,0.0200832,0.143542,0.119907,0.158331,0.170921,0.164098,0.105962,0.0869747,0.0687778,-19081.1
-19033.6,1,0.429688,3,7,0,19042.1,6.30384e-05,0.97048,0.202085,-0.0117375,0.27968,0.105884,0.302854,0.188019,0.0730672,0.0618122,0.193069,0.162387,-0.0376738,0.0635188,0.069047,0.00557638,0.140873,0.115908,0.151637,0.16726,0.169601,0.109925,0.0835178,0.0675284,-19087.7
