density_bin,freq,count,log_cpy entropy,log_cpy variance,log_cpy median,cpy_var,cpy_med,cpy_mean,ref_med,ref_var,year_med,field,log_cpy_var,vectorizer
38.479,0.0026407394070339,22,246.22664687881405,0.4043536583238648,0.4945023078492684,2295.177231196751,3.125,15.254843073593072,47.0,2912.5227272727275,2013.0,Geology,0.4043536583238648,SciBERT
38.528,0.0024006721882126,20,300.7146848430164,0.38863278161646,0.690105620855803,683.8815886240656,5.0,13.252368672993672,75.0,1440.2275000000002,2012.5,Geology,0.38863278161646,SciBERT
38.577,0.0024006721882126,20,,0.0925792038920821,0.6020599913279624,5.127234283453747,3.875,3.679619269619269,51.5,925.81,2011.0,Geology,0.0925792038920821,SciBERT
38.627,0.0034809746729084,29,266.85609604892437,0.2723088009924139,0.6020599913279624,89.44730814854384,4.0,6.739485005226436,41.0,2809.662306777646,2012.0,Geology,0.2723088009924139,SciBERT
38.676,0.0030008402352658,25,,0.2323748528774173,0.3701813447471219,25.28435788154496,2.0,4.149400031341208,51.0,823.0495999999999,2013.0,Geology,0.2323748528774173,SciBERT
38.725,0.0031208738446765,26,271.7605498398202,0.27941577786362,0.3533976709239876,51.46437390172907,2.257575757575758,5.462965138774854,47.5,973.6523668639054,2010.5,Geology,0.27941577786362,SciBERT
38.774,0.003601008282319,30,,0.3585046650664872,0.3010299956639812,23.8123513766387,2.0,4.445325136966003,48.5,1556.7788888888888,2012.0,Geology,0.3585046650664872,SciBERT
38.824,0.0037210418917296,31,209.58656655456153,0.2691737662032434,0.7596678446896304,76.78874850391463,5.75,7.145707643555442,60.0,1811.2965660770033,2012.0,Geology,0.2691737662032434,SciBERT
38.873,0.0032409074540871,27,279.63392883319585,0.1736467445251057,0.5440680443502757,16.390031146413882,3.5,4.631517974311232,48.0,673.6570644718793,2012.0,Geology,0.1736467445251057,SciBERT
38.922,0.0025207057976233,21,,0.3385704600803748,0.5279289087325005,39.96810549967571,3.3333333333333335,4.644082077275355,44.0,1284.53514739229,2013.0,Geology,0.3385704600803748,SciBERT
38.972,0.0034809746729084,29,254.70926731029735,0.1534588807658771,0.4259687322722811,29.53618238308028,2.6666666666666665,4.754165503428874,37.0,3499.6884661117715,2010.0,Geology,0.1534588807658771,SciBERT
39.021,0.0019205377505701,16,-0.0,0.0866603463623127,0.5043000858809588,6.583426650271334,3.2,3.999536793884221,55.0,1232.5625,2013.0,Geology,0.0866603463623127,SciBERT
