density_bin,freq,count,log_cpy entropy,log_cpy variance,log_cpy median,field,log_cpy_variance
27.958,0.0054131835000685215,79,,0.3258272339838531,0.7820639191396219,Physics,0.3258272339838531
28.321,0.00568726874057832,83,,0.5255145022077999,0.6524801446462067,Physics,0.5255145022077999
28.684,0.0051390982595587225,75,,0.43745556325760226,0.6989700043360189,Physics,0.43745556325760226
29.047,0.006920652322872413,101,,0.44586986004777335,0.6020599913279624,Physics,0.44586986004777335
29.41,0.006783609702617514,99,,0.6189317090982289,0.665326231135391,Physics,0.6189317090982289
29.773,0.007331780183637111,107,,0.5117739140398269,0.6690067809585756,Physics,0.5117739140398269
30.136,0.008702206386186104,127,,0.5279747995631874,0.5593080109070125,Physics,0.5279747995631874
30.498,0.008291078525421406,121,,0.43194635191050357,0.5904781187781473,Physics,0.43194635191050357
30.861,0.008633685076058654,126,,0.49374158340315394,0.7323937598229685,Physics,0.49374158340315394
31.224,0.008976291626695903,131,,0.3093230454944265,0.6611096473669597,Physics,0.3093230454944265
31.587,0.010004111278607647,146,,0.3921724318807623,0.6100396686441028,Physics,0.3921724318807623
31.95,0.010415239139372345,152,,0.336100927216493,0.6368220975871743,Physics,0.336100927216493
32.313,0.009524462107715499,139,,0.3112123181110682,0.6154239528859439,Physics,0.3112123181110682
32.676,0.012744963683705632,186,,0.286546361854254,0.6879746200345557,Physics,0.286546361854254
33.039,0.010552281759627243,154,,0.4194486433394773,0.6941481386903031,Physics,0.4194486433394773
33.402,0.012059750582431136,176,,0.4279098388915446,0.6497899646343742,Physics,0.4279098388915446
33.764,0.014595039057146772,213,,0.29011496348065924,0.7084126764162058,Physics,0.29011496348065924
34.127,0.01507468822803892,220,,0.20317665446921193,0.6728501952917211,Physics,0.20317665446921193
34.49,0.01507468822803892,220,,0.2823680629791152,0.6989700043360189,Physics,0.2823680629791152
34.853,0.018158147183774155,265,,0.24792873725731301,0.747540791829701,Physics,0.24792873725731301
35.216,0.017884061943264355,261,,0.3013928904526083,0.6750669777180467,Physics,0.3013928904526083
35.579,0.020076743867342744,293,,0.3652085302646931,0.752574989159953,Physics,0.3652085302646931
35.942,0.02281759627244073,333,,0.308092511684139,0.6448744926271461,Physics,0.308092511684139
36.305,0.021995340550911333,321,,0.25106610343667646,0.6989700043360189,Physics,0.25106610343667646
36.667,0.021995340550911333,321,,0.2421738359118533,0.730378468587643,Physics,0.2421738359118533
37.03,0.022337947101548582,326,,0.3171382842447454,0.6766936096248666,Physics,0.3171382842447454
37.393,0.023639851993970125,345,,0.23316394980623026,0.6842467475153124,Physics,0.23316394980623026
37.756,0.02638070439906811,385,,0.2606408863318717,0.7715206714846305,Physics,0.2606408863318717
38.119,0.02466767164588187,360,,0.18305998078988162,0.7781512503836436,Physics,0.18305998078988162
38.482,0.027545566671234752,402,,0.24616346099179434,0.6934723121852873,Physics,0.24616346099179434
38.845,0.027271481430724956,398,,0.23936453887827433,0.7617608341954742,Physics,0.23936453887827433
39.208,0.02836782239276415,414,,0.23170928064996826,0.7160033436347992,Physics,0.23170928064996826
39.57,0.027477045361107306,401,,0.24164872939409401,0.7415208108578343,Physics,0.24164872939409401
39.933,0.027682609291489652,404,,0.19599494832844025,0.7447274948966939,Physics,0.19599494832844025
40.296,0.027888173221872002,407,,0.22273472331869149,0.6989700043360189,Physics,0.22273472331869149
40.659,0.028025215842126902,409,,0.19459981090430656,0.7832908900360547,Physics,0.19459981090430656
41.022,0.029327120734548445,428,,0.21065164968089525,0.7683914130944873,Physics,0.21065164968089525
41.385,0.02836782239276415,414,,0.21167167866813674,0.785329835010767,Physics,0.21167167866813674
41.748,0.02651774701932301,387,,0.22319693303362542,0.7781512503836436,Physics,0.22319693303362542
42.111,0.023502809373715225,343,,0.2261141530498931,0.7647872888256622,Physics,0.2261141530498931
42.474,0.02459915033575442,359,,0.19773642275518005,0.7615479191262838,Physics,0.19773642275518005
42.836,0.024941756886391667,364,,0.20905841234395092,0.820784266305818,Physics,0.20905841234395092
43.199,0.022337947101548582,326,,0.16739878371775566,0.7871060930365701,Physics,0.16739878371775566
43.562,0.022474989721803482,328,,0.23044945324010616,0.7533276666586115,Physics,0.23044945324010616
