# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 23:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/bj7u9aft.json
# init = 2 (Default)
# random
#   seed = 80778
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/nonsems/multireg-20250511180408_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.487147
# Diagonal elements of inverse mass matrix:
# 1.99146e-05, 1.88242e-05, 1.74792e-05, 1.43024e-05
-49250.7,0.839504,0.487147,2,3,0,49251.2,0.00476518,0.161282,0.123166,0.980892,0.151124,0.124196,-48096.3
-49249,1,0.487147,2,3,0,49251,0.00207051,0.159033,0.122717,0.980934,0.148835,0.123744,-48093.8
-49249.4,0.854321,0.487147,2,3,0,49251.3,0.00372083,0.155189,0.122103,0.97875,0.1449,0.123125,-48091.6
-49249.7,0.837879,0.487147,3,7,0,49252.4,-0.00122784,0.156506,0.125683,0.982542,0.145766,0.126734,-48091
-49250.5,0.877618,0.487147,2,3,0,49252.4,-0.00479398,0.155815,0.124374,0.976722,0.14523,0.125414,-48092.9
-49249.3,1,0.487147,2,3,0,49250.6,0.00242908,0.156322,0.122342,0.981651,0.146051,0.123366,-48091.3
-49249.4,0.826569,0.487147,2,3,0,49251.9,0.00251511,0.160014,0.12193,0.978193,0.149974,0.12295,-48095.8
-49252.6,0.744257,0.487147,2,3,0,49254.1,-0.0034601,0.152569,0.117284,0.980729,0.142849,0.118266,-48089.7
-49252.1,1,0.487147,3,7,0,49252.9,-0.00290062,0.15349,0.117371,0.981231,0.1438,0.118353,-48090.1
-49250.8,1,0.487147,2,3,0,49252.6,-0.00347101,0.154021,0.11896,0.978849,0.144128,0.119955,-48091
-49249.5,0.726509,0.487147,2,3,0,49255.4,-0.000339369,0.157281,0.124183,0.976039,0.146791,0.125222,-48094.2
-49248.6,1,0.487147,2,3,0,49249.7,-0.00202432,0.157324,0.124792,0.979128,0.146749,0.125836,-48092.7
-49250,0.904308,0.487147,2,3,0,49250.2,-0.0024201,0.159875,0.127606,0.978157,0.149015,0.128674,-48095.5
-49252.1,0.817401,0.487147,2,3,0,49253.3,-6.15989e-05,0.163768,0.127367,0.976831,0.153123,0.128432,-48100.1
-49252,0.876274,0.487147,3,7,0,49255.8,0.00482799,0.158614,0.121594,0.974934,0.148557,0.122612,-48096.9
-49249.4,0.999554,0.487147,3,7,0,49252.4,0.00256732,0.156146,0.120029,0.979046,0.146199,0.121034,-48092.3
-49249.1,0.98131,0.487147,2,3,0,49249.9,0.001628,0.155333,0.121437,0.977998,0.145146,0.122453,-48091.8
-49251.1,0.854365,0.487147,2,3,0,49251.6,0.00357128,0.159746,0.118133,0.979865,0.150237,0.119122,-48095.7
-49249.1,0.999018,0.487147,2,7,0,49251.6,0.00268361,0.159646,0.124772,0.978522,0.149182,0.125816,-48095.2
-49249.5,0.920321,0.487147,3,7,0,49250.5,-0.00288565,0.157749,0.122989,0.981665,0.147452,0.124018,-48092.4
-49253.3,0.798184,0.487147,2,7,0,49254.7,-0.00135626,0.150743,0.130658,0.980912,0.139023,0.131751,-48087.8
-49253.5,0.977477,0.487147,3,7,0,49257.1,-0.00201311,0.164043,0.117781,0.981033,0.154784,0.118767,-48099.5
-49253.7,0.945118,0.487147,2,7,0,49256.4,-0.00447474,0.164589,0.119966,0.977631,0.155042,0.120969,-48101.2
-49249.5,1,0.487147,2,3,0,49254.2,-0.00346877,0.158128,0.126248,0.980434,0.147381,0.127305,-48093
-49251.1,0.92797,0.487147,2,7,0,49251.6,0.00503187,0.151877,0.123127,0.978661,0.141288,0.124157,-48089.4
-49249.6,0.992156,0.487147,2,3,0,49251.8,0.0023047,0.153969,0.124259,0.977185,0.143315,0.125298,-48091.1
-49251.3,0.87732,0.487147,2,3,0,49251.8,5.9595e-05,0.161344,0.120329,0.982832,0.151594,0.121335,-48095.7
-49251,0.985215,0.487147,3,7,0,49252.4,-0.000565382,0.161094,0.124295,0.98341,0.150765,0.125335,-48095
-49250,0.987678,0.487147,2,7,0,49252,-0.00224758,0.158854,0.120964,0.976694,0.148898,0.121976,-48095.6
-49253.4,0.815757,0.487147,2,3,0,49254.4,-8.23156e-05,0.148754,0.127457,0.981924,0.1374,0.128523,-48085.9
-49249.3,1,0.487147,2,3,0,49254,0.00224995,0.157727,0.122821,0.976848,0.147453,0.123849,-48094.3
-49250.7,0.70766,0.487147,2,3,0,49254,0.00467665,0.152335,0.124956,0.978856,0.141506,0.126002,-48089.4
-49250.2,0.954828,0.487147,2,3,0,49252.1,0.00350826,0.156463,0.125852,0.976241,0.145696,0.126905,-48093.7
-49250.8,0.865317,0.487147,3,7,0,49254.2,-0.00420107,0.155635,0.123386,0.982881,0.145183,0.124418,-48090.5
-49250.9,0.929597,0.487147,2,3,0,49253.1,-0.00497181,0.160824,0.123135,0.981257,0.150649,0.124165,-48095.5
-49250.3,0.954033,0.487147,2,3,0,49252.6,0.000703508,0.159349,0.12074,0.982608,0.149448,0.12175,-48093.8
-49249.3,1,0.487147,2,3,0,49250.8,-0.00100521,0.159545,0.123146,0.981584,0.149309,0.124176,-48093.9
-49250.7,0.878256,0.487147,2,7,0,49251.8,-0.00215783,0.152284,0.121672,0.981742,0.141922,0.12269,-48088.3
-49251.1,0.962923,0.487147,2,3,0,49252.6,-0.00111639,0.152824,0.119088,0.977054,0.142858,0.120084,-48090.8
-49249.2,0.985413,0.487147,3,7,0,49251.8,0.00123204,0.155984,0.122732,0.976813,0.145642,0.123759,-48092.8
-49249.9,0.878357,0.487147,3,7,0,49251.5,-0.00418105,0.155044,0.123023,0.981081,0.144616,0.124052,-48090.4
-49250.9,0.946496,0.487147,2,3,0,49251.4,-0.00454872,0.156551,0.123979,0.982879,0.146057,0.125017,-48091.3
-49249.3,0.988894,0.487147,3,7,0,49252.3,0.00378963,0.156133,0.124947,0.97809,0.145481,0.125992,-48092.5
-49248.9,0.88812,0.487147,2,3,0,49251.2,0.000494741,0.159109,0.126445,0.979683,0.14838,0.127503,-48094.1
-49250,0.726732,0.487147,2,3,0,49252.9,-0.00446378,0.155849,0.125272,0.981169,0.145137,0.12632,-48091
